Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksey Tretyakov;M;B;Raw;38;35-39;24-39;Open;81.8;82.5;;;;;;150;155;160;;160;;;;;;160;1;108.91;107.74;103.70;80.97;Yes;Russia;;RPU;;2020-02-22;Russia;VLG;Veliky Ustyug;Veliky Ustyug Championships
Aleksey Tretyakov;M;B;Raw;38;35-39;24-39;Amateur Open;85.2;90;;;;;;150;155;-162.5;;155;;;;;;155;4;103.14;101.91;97.91;76.82;Yes;Russia;;WRPF;WRPF;2019-11-23;Russia;IVA;Ivanovo;St George the Victorious Cup II
Aleksey Tretyakov;M;B;Raw;38;35-39;24-39;Open;87.2;90;;;;;;162.5;165;-170;;165;;;;;;165;1;108.44;107.10;102.79;80.83;;Russia;;WRPF;WRPF;2019-03-31;Russia;YAR;Yaroslavl;Russian Powerlifting Championships
Aleksey Tretyakov;M;B;Raw;37;35-39;24-39;Open;86;90;;;;;;157.5;162.5;167.5;-170;167.5;;;;;;167.5;2;110.89;109.55;105.21;82.63;;Russia;;RPU;;2019-02-23;Russia;VLG;Velikiy Ustyug;Velikiy Ustyug Championships
Aleksey Tretyakov;M;B;Raw;37;35-39;24-39;Open;84.8;90;;;;;;152.5;155;157.5;;157.5;;;;;;157.5;2;105.07;103.83;99.78;78.25;Yes;Russia;;RPU;;2018-12-21;Russia;;Bologda;Russian North Tournament
Aleksey Tretyakov;M;B;Raw;37;35-39;24-39;Open;87.2;90;;;;;;140;142.5;147.5;;147.5;;;;;;147.5;3;96.94;95.74;91.89;72.25;;Russia;;RPU;;2018-11-17;Russia;;Velikiy Ustyug;Velikiy Ustyug Championships
Aleksey Tretyakov;M;SBD;Single-ply;25.5;24-34;24-39;Open;115.95;120;;;;;220;;;;;120;;;;;205;545;2;316.68;315.99;302.56;53.39;Yes;Russia;;FPR;IPF;2011-05-07;Russia;IRK;Irkutsk;Irkutsk Oblast Powerlifting Championships
Aleksey Tretyakov;M;SBD;Single-ply;17.5;18-19;14-18;Open;79.1;82.5;;;;;230;;;;;117.5;;;;;220;567.5;5;393.96;390.23;376.19;67.44;Yes;Russia;;FPR;IPF;2003-05-02;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksey Tretyakov;M;SBD;Single-ply;17.5;18-19;14-18;Open;79;82.5;;;;;220;;;;;105;;;;;190;515;7;357.78;354.42;341.68;61.25;Yes;Russia;;FPR;IPF;2003-02-08;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksey Tretyakov;M;SBD;Single-ply;16.5;16-17;14-18;Open;77.5;82.5;;;;;190;;;;;105;;;;;195;490;6;344.39;341.46;329.47;58.97;Yes;Russia;;FPR;IPF;2002-02-10;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
