Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksi Nummi;M;SBD;Raw;43.5;40-44;40-49;Over 40;92.9;93;215;220;225;;225;145;150;;;150;-245;-262.5;-262.5;;;;DQ;;;;;Yes;;;SVNL;IPF;2022-04-09;Finland;;Pori;Klassinen voimanosto
Aleksi Nummi;M;SBD;Raw;42.5;40-44;40-49;Over 40;92.37;93;212.5;225;230;;230;145;150;-152.5;;150;240;250;255;;255;635;2;405.35;400.20;383.13;83.35;Yes;;;SVNL;IPF;2021-11-19;Finland;;Pornainen;Masters - klassisen voimanoston SM-kilpailu
Aleksi Nummi;M;SBD;Raw;42.5;40-44;40-49;Over 40;92.15;93;210;-222.5;222.5;;222.5;142.5;-147.5;-147.5;;142.5;250;-265;-265;;250;615;1;393.04;388.04;371.53;80.82;Yes;;;SVNL;IPF;2021-04-24;Finland;;Porissa;Kansallinen klassinen voimanosto
Aleksi Nummi;M;B;Raw;42.5;40-44;40-49;Over 40;96.2;105;;;;;;140;145;150;;150;;;;;;150;1;93.93;92.78;88.70;70.00;Yes;;;SVNL;IPF;2021-01-09;Finland;;;PV-81 Klassinen ja Varustepenkkipunnerrus
Aleksi Nummi;M;SBD;Raw;41.5;40-44;40-49;Over 40;92.38;93;205;215;220;;220;140;145;-150;;145;250;260;-265;;260;625;2;398.94;393.88;377.08;82.03;Yes;;;SVNL;IPF;2020-11-14;Finland;;Ylöjärvi;Masters - klassisen voimanoston SM-kilpailu
Aleksi Nummi;M;SBD;Raw;41.5;40-44;40-49;Over 40;92.65;93;-195;195;212.5;;212.5;135;140;-145;;140;220;240;-255;;240;592.5;3;377.66;372.87;356.93;77.65;Yes;;;SVNL;IPF;2020-09-19;Finland;;Pori;PV-81 klassinen voimanosto
Aleksi Nummi;M;SBD;Raw;40.5;40-44;40-49;Open;99.75;105;65;;;;65;65;;;;65;65;;;;65;195;8;120.16;118.79;113.47;24.66;Yes;;;SVNL;IPF;2019-04-13;Finland;;Pori;Klassinen voimanosto
Aleksi Nummi;M;SBD;Raw;39.5;35-39;40-49;Over 40;92.74;93;200;207.5;-212.5;;207.5;135;140;142.5;;142.5;240;255;-262.5;;255;605;4;385.45;380.56;364.28;79.26;Yes;;;SVNL;IPF;2018-11-16;Finland;;Pornainen;Masters - klassisen voimanoston SM-kilpailu
Aleksi Nummi;M;SBD;Raw;39.5;35-39;40-49;Over 40;95.8;105;190;200;205;;205;135;140;;;140;230;245;260;;260;605;1;379.59;374.92;358.46;78.02;Yes;;;SVNL;IPF;2018-10-13;Finland;;Pori;Kansallinen klassinen voimanosto
Aleksi Nummi;M;SBD;Raw;39.5;35-39;40-49;Over 40;91.85;93;190;-200;-202.5;;190;135;140;;;140;200;220;240;;240;570;1;364.86;360.22;344.94;75.02;Yes;;;SVNL;IPF;2018-04-14;Finland;;Pori;Kansalliset klassinen voimanosto
