Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alena Mults;F;SBD;Raw;26.5;24-34;24-39;Open;71.45;72;;;;;140;;;;;77.5;;;;;160;377.5;2;377.42;370.35;326.29;76.75;Yes;Russia;;FPR;IPF;2020-12-03;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Alena Mults;F;SBD;Raw;25.5;24-34;24-39;Open;71.8;72;;;;;142.5;;;;;75;;;;;172.5;390;1;388.88;381.36;335.95;79.09;Yes;Russia;;FPR;IPF;2019-12-09;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Alena Mults;F;SBD;Raw;25.5;24-34;24-39;Open;71.8;72;;;;;140;;;;;72.5;;;;;167.5;380;1;378.90;371.58;327.33;77.06;Yes;Russia;;FPR;IPF;2019-10-15;Russia;YAN;Muravlenko;Russian Classic Powerlifting Cup
Alena Mults;F;SBD;Raw;25.5;24-34;24-39;Open;71.7;72;;;;;140;;;;;75;;;;;170;385;1;384.18;376.82;331.96;78.13;Yes;Russia;;FPR;IPF;2019-05-15;Russia;KYA;Krasnoyarsk;Centre of Asia
Alena Mults;F;SBD;Raw;25.5;24-34;24-39;Open;71.5;72;;;;;137.5;;;;;77.5;;;;;167.5;382.5;3;382.28;375.08;330.45;77.74;Yes;Russia;;FPR;IPF;2019-03-03;Russia;MOW;Moscow;Russian Classic Powerlifting Championships
Alena Mults;F;SBD;Raw;24.5;24-34;24-39;Open;71.9;72;;;;;142.5;;;;;77.5;;;;;165;385;1;383.60;376.12;331.32;78.02;Yes;Russia;;FPR;IPF;2018-12-04;Russia;NVS;Berdsk;Siberian Classic Powerlifting Championships
Alena Mults;F;SBD;Raw;24.5;24-34;24-39;Open;71.6;72;;;;;140;;;;;75;;;;;157.5;372.5;1;372.00;364.93;321.50;75.65;Yes;Russia;;FPR;IPF;2018-10-24;Russia;NVS;Berdsk;Russian Classic Powerlifting Cup
Alena Mults;F;SBD;Raw;24.5;24-34;24-39;Open;71.3;72;127.5;-135;135;;135;70;72.5;-75;;72.5;160;-170;-175;;160;367.5;7;367.85;361.05;318.11;74.80;Yes;Russia;;IPF;IPF;2018-07-09;Czechia;;Pilsen;3rd World University Powerlifting Cup
Alena Mults;F;SBD;Raw;24.5;24-34;24-39;Open;71.45;72;;;;;135;;;;;72.5;;;;;168;375.5;1;375.42;368.39;324.56;76.34;Yes;Russia;;FPR;IPF;2018-04-04;Russia;BRY;Bryansk;Russian Students Classic Powerlifting Championships
Alena Mults;F;SBD;Raw;24.5;24-34;24-39;Open;70.65;72;;;;;135;;;;;70;;;;;165;370;5;372.24;365.77;322.35;75.67;Yes;Russia;;FPR;IPF;2018-03-14;Russia;PER;Perm;Russian Classic Powerlifting Championships
Alena Mults;F;SBD;Raw;;;;Open;70.75;72;;;;;135;;;;;70;;;;;167.6;372.6;1;374.56;367.98;324.29;76.15;Yes;Russia;;FPR;IPF;2017-12-06;Russia;KYA;Krasnoyarsk;Siberian Powerlifting Championships
Alena Mults;F;SBD;Raw;;;;Open;69.9;72;;;;;125;;;;;65;;;;;161;351;1;355.24;349.53;308.12;72.20;Yes;Russia;;FPR;IPF;2017-04-20;Russia;OMS;Omsk;Russian Students Classic Powerlifting Championships
Alena Mults;F;SBD;Raw;20;20-23;19-23;Open;67.65;72;;;;;100;;;;;52.5;;;;;142.5;295;1;304.17;300.61;265.16;61.80;Yes;Russia;;FPR;IPF;2016-03-31;Russia;KYA;Krasnoyarsk;Russian Students Classic Powerlifting Championships
Alena Mults;F;SBD;Raw;;20-23;;Amateur Juniors 20-23;66;67.5;-92.5;92.5;-97.5;;92.5;50;-52.5;-52.5;;50;115;120;122.5;;122.5;265;1;277.19;274.90;242.59;56.33;Yes;Russia;;WPC-RUS;WPC;2015-10-24;Russia;OMS;Omsk;Siberian Federal District Championships
Alena Mults;F;D;Raw;;20-23;;Amateur Juniors 20-23;66;67.5;;;;;;;;;;;-117.5;117.5;122.5;;122.5;122.5;1;128.13;127.08;112.14;;Yes;Russia;;WPC-RUS;WPC;2015-10-24;Russia;OMS;Omsk;Siberian Federal District Championships
