Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alena Zubova;F;SBD;Raw;24.5;24-34;24-39;Open;57;57;;;;;147.5;;;;;77.5;;;;;155;380;3;435.36;440.95;389.90;89.13;Yes;Russia;;FPR;IPF;2022-03-02;Russia;TUL;Tula;Russian Classic Powerlifting Championships
Alena Zubova;F;SBD;Raw;23.5;24-34;24-39;Open;56.8;57;;;;;147.5;;;;;80;;;;;155;382.5;1;439.24;445.07;393.58;89.96;Yes;Russia;;FPR;IPF;2021-10-17;Russia;MUR;Murmansk;Russian Powerlifting Cup
Alena Zubova;F;SBD;Raw;23.5;24-34;24-39;Open;56.95;57;;;;;155;;;;;77.5;;;;;165;397.5;4;455.68;461.57;408.15;93.30;Yes;Russia;;FPR;IPF;2021-05-19;Russia;VLA;Suzdal;Russian Classic Powerlifting Championships
Alena Zubova;F;B;Raw;23.5;24-34;24-39;Open;57;57;;;;;;-70;75;-80;;75;;;;;;75;1;85.93;87.03;76.95;66.70;Yes;Russia;;FPR;IPF;2021-04-22;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Classic Bench Press Championships
Alena Zubova;F;SBD;Raw;23.5;24-34;24-39;Open;57;57;;;;;150;;;;;75;;;;;150;375;1;429.64;435.15;384.77;87.96;Yes;Russia;;FPR;IPF;2021-04-22;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Powerlifting Championships
Alena Zubova;F;SBD;Raw;22.5;20-23;19-23;Open;57;57;;;;;140;;;;;80;;;;;147.5;367.5;4;421.04;426.44;377.08;86.20;Yes;Russia;;FPR;IPF;2020-10-05;Russia;TUL;Tula;Russian Classic Powerlifting Cup
Alena Zubova;F;SBD;Raw;22.5;20-23;19-23;Juniors;56.9;57;;;;;155;;;;;85;;;;;167.5;407.5;1;467.41;473.51;418.71;95.71;Yes;Russia;;FPR;IPF;2020-03-15;Russia;ARK;Arkhangelsk;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Alena Zubova;F;SBD;Raw;22.5;20-23;19-23;Open;56.89;57;150;155;160;;160;80;85;-87.5;;85;165;-175;-175;;165;410;1;470.33;476.48;421.34;96.31;Yes;Russia;;EPF;IPF;2020-02-25;France;;Merignac;European University Cup
Alena Zubova;F;SBD;Raw;21.5;20-23;19-23;Juniors;56.7;57;152.5;-157.5;-157.5;;152.5;77.5;82.5;85;;85;160;170;172.5;;172.5;410;1;471.36;477.73;422.47;96.55;Yes;Russia;;EPF;IPF;2019-11-29;Lithuania;;Kaunas;European Classic Championships
Alena Zubova;F;SBD;Raw;21.5;20-23;19-23;Open;56.84;57;-150;150;155;;155;75;-80;80;;80;152.5;160;165;;165;400;1;459.12;465.18;411.35;94.02;Yes;Russia;;IPF;IPF;2019-07-22;Estonia;;Tartu;University Powerlifting Cup
Alena Zubova;F;SBD;Raw;21.5;20-23;19-23;Juniors;56.9;57;150;155;157.5;;157.5;75;80;82.5;;82.5;155;162.5;167.5;;167.5;407.5;3;467.41;473.51;418.71;95.71;Yes;Russia;;IPF;IPF;2019-06-04;Sweden;;Helsingborg;World Classic Powerlifting Championships
Alena Zubova;F;B;Single-ply;21.5;20-23;19-23;Open;58.45;63;;;;;;75;80;82.5;;82.5;;;;;;82.5;1;92.99;93.87;82.97;52.32;Yes;Russia;;FPR;IPF;2019-05-11;Russia;KYA;Krasnoyarsk;Bench Press Universiade
Alena Zubova;F;SBD;Raw;21.5;20-23;19-23;Open;57;57;;;;;153;;;;;80;;;;;157.5;390.5;1;447.39;453.13;400.68;91.60;Yes;Russia;;FPR;IPF;2019-04-09;Russia;NIZ;Novgorod;Russian Classic Student's Powerlifting Championships
Alena Zubova;F;SBD;Raw;21.5;20-23;19-23;Juniors;56.95;57;;;;;152.5;;;;;80;;;;;157.5;390;1;447.08;452.86;400.45;91.54;Yes;Russia;;FPR;IPF;2019-02-27;Russia;MOW;Moscow;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
