Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleš Košťál;M;B;Single-ply;45.5;45-49;40-49;Open;82.7;83;;;;;;205;210;212.5;;212.5;;;;;;212.5;1;143.75;142.15;136.76;75.83;Yes;Czechia;;CSST;IPF;2020-08-30;Czechia;;Jihlava;Otevřené mistrovství České republiky mužů a žen v benčpresu
Aleš Košťál;M;B;Single-ply;45.5;45-49;40-49;Masters 1;82.1;83;;;;;;180;185;;;185;;;;;;185;1;125.66;124.30;119.62;66.37;Yes;Czechia;;CSST;IPF;2020-08-29;Czechia;;Jihlava;Otevřené mistrovství České republiky dorostu juniorů a masters v benčpresu
Aleš Košťál;M;B;Raw;45.5;45-49;40-49;Masters 1;82.7;83;;;;;;140;145;150;;150;;;;;;150;1;101.47;100.34;96.54;75.48;Yes;Czechia;;CSST;IPF;2020-08-01;Czechia;;Dírná u Tábora;Otevřené mistrovství České republiky juniorů dorostu a masters v klasickém benčpresu
Aleš Košťál;M;B;Single-ply;44.5;40-44;40-49;Open;82.7;83;;;;;;205;210;215;;215;;;;;;215;1;145.44;143.82;138.37;76.72;Yes;Czechia;;CSST;IPF;2019-03-16;Czechia;;Jihlava;Otevřené mistrovství České republiky mužů a žen v benčpresu
Aleš Košťál;M;B;Single-ply;44.5;40-44;40-49;Masters 1;82.7;83;;;;;;180;190;200;;200;;;;;;200;1;135.29;133.79;128.72;71.37;Yes;Czechia;;CSST;IPF;2019-03-02;Czechia;;Vítkovice;Otevřené mistrovství České republiky dorostenců juniorů a masters v benčpresu
Aleš Košťál;M;B;Raw;42.5;40-44;40-49;Open;78.63;83;;;;;;145;150;-157.5;;150;;;;;;150;5;104.50;103.54;99.84;77.48;Yes;Czechia;;CSST;IPF;2017-02-11;Czechia;;Frýdlant;Otevřené Mistrovství ČR v Klasickém Benčpresu Mužů a Žen
Aleš Košťál;M;B;Raw;42.5;40-44;40-49;Masters 1;73.97;74;;;;;;130;137.5;142.5;;142.5;;;;;;142.5;1;103.15;102.53;99.13;76.01;Yes;Czechia;;CSST;IPF;2017-02-05;Czechia;;Svitavy;Otevřené Mistrovství ČR v Klasickém Benčpresu Dorostu Juniorů a Masters
Aleš Košťál;M;B;Raw;41.5;40-44;40-49;Masters 1;79;83;;;;;;145;150;155;;155;;;;;;155;1;107.68;106.67;102.84;79.87;Yes;Czechia;;CSST;IPF;2016-03-26;Czechia;;Liberec;Mistrovství ČR v Klasickém Benčpresu Dorostu Juniorů Mužů Žen a Masters
Aleš Košťál;M;B;Single-ply;39.5;35-39;40-49;Masters 1;82.46;83;;;;;;217.5;222.5;-232.5;;222.5;;;;;;222.5;2;150.76;149.10;143.46;79.57;Yes;Czechia;;EPF;IPF;2014-10-16;Luxembourg;;Hamm;European Masters Bench Press Championships
Aleš Košťál;M;B;Single-ply;39.5;35-39;40-49;Open;82.01;83;;;;;;-230;230;-237.5;;230;;;;;;230;7;156.33;154.63;148.83;82.57;Yes;Czechia;;EPF;IPF;2014-08-07;Czechia;;Pilsen;European Open Bench Press Championships
Aleš Košťál;M;B;Single-ply;39.5;35-39;40-49;Masters 1;81;83;;;;;;215;-225;-225;;215;;;;;;215;4;147.18;145.65;140.26;77.89;Yes;Czechia;;IPF;IPF;2014-04-17;England;;Northumberland;World Masters Bench Press Championships
Aleš Košťál;M;B;Single-ply;39.5;35-39;40-49;Masters 1;82;83;;;;;;210;215;220;;220;;;;;;220;1;149.54;147.92;142.37;78.99;Yes;Czechia;;CSST;IPF;2014-02-15;Czechia;;Zbýšov;Mistrovství České Republiky Juniorů Dorostu a Masters v Benčpressu
Aleš Košťál;M;B;Single-ply;38.5;35-39;24-39;Open;82.3;83;;;;;;200;210;-212.5;;210;;;;;;210;1;142.45;140.89;135.57;75.20;Yes;Czechia;;CSST;IPF;2013-03-16;Czechia;;Jihlava;Mistrovství ČR v Benčpresu Mužů a Žen
Aleš Košťál;M;B;Single-ply;38.5;35-39;24-39;Open;82.7;83;;;;;;200;210;215;;215;;;;;;215;1;145.44;143.82;138.37;76.72;Yes;Czechia;;CSST;IPF;2013-02-09;Czechia;;Třeboň;Mistrovství Čech v Benčpresu Mužů a Žen
Aleš Košťál;M;B;Single-ply;36.5;35-39;24-39;Open;82.43;83;;;;;;220;227.5;232.5;;232.5;;;;;;232.5;5;157.57;155.83;149.95;83.16;Yes;Czechia;;EPF;IPF;2011-08-04;Czechia;;Pilsen;European Open Bench Press Championships
Aleš Košťál;M;B;Single-ply;36.5;35-39;24-39;Open;82.7;83;;;;;;-215;215;-217.5;;215;;;;;;215;2;145.44;143.82;138.37;76.72;Yes;Czechia;;CSST;IPF;2011-04-09;Czechia;;Ostrava-Vítkovice;Mistrovství ČR v Benčpresu Mužů a Žen
Aleš Košťál;M;B;Single-ply;35.5;35-39;24-39;Open;83.6;90;;;;;;215;220;-225;;220;;;;;;220;1;147.92;146.23;140.62;77.91;Yes;Czechia;;CSST;IPF;2010-09-18;Czechia;;Roudnice;Podřipský Pohár
Aleš Košťál;M;B;Single-ply;35.5;35-39;24-39;Open;82.1;82.5;;;;;;212.5;-217.5;217.5;;217.5;;;;;;217.5;5;147.74;146.13;140.64;78.02;Yes;Czechia;;EPF;IPF;2010-08-12;Slovakia;;Bratislava;European Open Bench Press Championships
Aleš Košťál;M;B;Single-ply;35.5;35-39;24-39;Open;81.7;82.5;;;;;;200;-210;210;;210;;;;;;210;1;143.04;141.51;136.22;75.60;Yes;Czechia;;CSST;IPF;2010-03-13;Czechia;;Vinohrady;Mistrovství Čech v Benčpresu Mužů a Žen
Aleš Košťál;M;B;Single-ply;35.5;35-39;24-39;Open;82.2;82.5;;;;;;205;212.5;-217.5;;212.5;;;;;;212.5;2;144.24;142.67;137.30;76.16;Yes;Czechia;;CSST;IPF;2010-01-01;Czechia;;;Mistrovství České Republiky v Benčpresu Mužů a Žen
Aleš Košťál;M;B;Single-ply;34.5;24-34;24-39;Open;81.1;82.5;;;;;;200;207.5;212.5;;212.5;;;;;;212.5;1;145.36;143.84;138.51;76.92;Yes;Czechia;;CSST;IPF;2009-09-19;Czechia;;Roudnice;Ročník Podřipského Poháru v Benčpresu
Aleš Košťál;M;B;Single-ply;34.5;24-34;24-39;Open;82;82.5;;;;;;205;212.5;-217.5;;212.5;;;;;;212.5;4;144.44;142.88;137.51;76.30;Yes;Czechia;;EPF;IPF;2009-08-06;Czechia;;Frydek-Mistek;European Bench Press Championships
Aleš Košťál;M;B;Single-ply;34.5;24-34;24-39;Open;81.7;82.5;;;;;;-205;-205;205;;205;;;;;;205;1;139.64;138.14;132.98;73.80;Yes;Czechia;;CSST;IPF;2009-04-04;Czechia;;Nisou;Mistrovství ČR v Benčpresu
Aleš Košťál;M;B;Single-ply;34.5;24-34;24-39;Open;82.2;82.5;;;;;;-205;210;-215;;210;;;;;;210;1;142.55;140.99;135.68;75.27;Yes;Czechia;;CSST;IPF;2009-03-21;Czechia;;Sedlčany;Mistrovství Čech v Benčpresu
Aleš Košťál;M;B;Single-ply;33.5;24-34;24-39;Open;79.7;82.5;;;;;;202.5;207.5;;;207.5;;;;;;207.5;1;143.40;142.00;136.84;76.09;Yes;Czechia;;CSST;IPF;2008-09-27;Czechia;;Labem;Podřipský Pohár v Benčpresu
Aleš Košťál;M;B;Single-ply;33.5;24-34;24-39;Open;81.7;82.5;;;;;;-205;210;-215;;210;;;;;;210;6;143.04;141.51;136.22;75.60;Yes;Czechia;;EPF;IPF;2008-08-07;Slovakia;;Bratislava;European Bench Press Championships
Aleš Košťál;M;B;Single-ply;33.5;24-34;24-39;Open;81.8;82.5;;;;;;-205;205;210;;210;;;;;;210;7;142.94;141.41;136.11;75.53;Yes;Czechia;;IPF;IPF;2008-06-25;Czechia;;Prague;World Bench Press Championships
Aleš Košťál;M;B;Single-ply;32.5;24-34;24-39;Open;80.8;82.5;;;;;;;;;;185;;;;;;185;2;126.82;125.52;120.88;67.15;Yes;Czechia;;CSST;IPF;2007-09-29;Czechia;;Laben;Podřipský Pohár v Benčpresu
Aleš Košťál;M;B;Single-ply;32.5;24-34;24-39;Open;81.5;82.5;;;;;;182.5;187.5;190;;190;;;;;;190;3;129.60;128.23;123.45;68.52;Yes;Czechia;;CSST;IPF;2007-04-28;Czechia;;Budějovice;Mistrovství ČR Mužů a Žen v Benčpresu
Aleš Košťál;M;B;Single-ply;32.5;24-34;24-39;Open;80.9;82.5;;;;;;-182.5;182.5;185;;185;;;;;;185;2;126.73;125.42;120.79;67.08;Yes;Czechia;;CSST;IPF;2007-03-03;Czechia;;Boleslav;Mistrovství Čech Mužů a Žen v Benčpresu
Aleš Košťál;M;B;Single-ply;31.5;24-34;24-39;Open;81.7;82.5;;;;;;190;-200;-200;;190;;;;;;190;4;129.42;128.03;123.25;68.40;Yes;Czechia;;CSST;IPF;2006-04-29;Czechia;;Kašava;Mistrovství ČR v Benčpresu Mužů a Žen
Aleš Košťál;M;B;Single-ply;31.5;24-34;24-39;Open;81.9;82.5;;;;;;-190;190;-195;;190;;;;;;190;1;129.24;127.84;123.05;68.28;Yes;Czechia;;CSST;IPF;2006-03-11;Czechia;;Svitavy-Vendolí;Mistrovství Čech v Benčpresu Mužů a Žen
