Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alessandro Artuso;M;B;Single-ply;28.5;24-34;24-39;Open;112.42;120;;;;;;165;172.5;-180;;172.5;;;;;;172.5;2;101.35;100.86;96.47;52.00;Yes;;;FIPL;IPF;2017-12-15;Italy;;Cecina;XVIII Campionato Italiano di Panca e III Campionato Classic di Panca
Alessandro Artuso;M;B;Single-ply;28.5;24-34;24-39;Open;103.54;105;;;;;;160;-165;-165;;160;;;;;;160;5;97.05;96.09;91.75;50.01;Yes;;;FIPL;IPF;2017-07-28;Italy;;San Zenone al Lambro;XIV Trofeo Bertoletti
Alessandro Artuso;M;B;Single-ply;27.5;24-34;24-39;Open;109.45;120;;;;;;155;-162.5;162.5;;162.5;;;;;;162.5;3;96.43;95.78;91.53;49.54;Yes;;;FIPL;IPF;2016-06-14;Italy;;Taneto di Gattatico;XIII Coppa Bertoletti di Panca e II Campionato Classic di Powerlifting Raw
Alessandro Artuso;M;B;Single-ply;26.5;24-34;24-39;Open;103.89;105;;;;;;150;-157.5;157.5;;157.5;;;;;;157.5;8;95.40;94.47;90.21;49.15;Yes;;;FIPL;IPF;2015-06-19;Italy;;Taneto di Gattatico;12° Coppa Bertoletti di Panca e 5° Trofeo di Powerlifting Raw
Alessandro Artuso;M;SBD;Single-ply;26.5;24-34;24-39;Open;103.88;105;220;235;240;;240;135;140;145;;145;220;235;250;;250;635;13;384.64;380.90;363.70;65.22;Yes;;;FIPL;IPF;2015-04-16;Italy;;Marotto Mandolfo;33° Campionato Italiano Assoluto di Powerlifting
Alessandro Artuso;M;D;Single-ply;26.5;24-34;24-39;Open;110.25;120;;;;;;;;;;;220;235;-245;;235;235;4;139.06;138.20;132.09;;Yes;;;FIPL;IPF;2015-02-27;Italy;;Levico Terme;15° Campionato Italiano Assoluto di Stacco e 4° Trofeo di Stacco Raw
Alessandro Artuso;M;SBD;Single-ply;25.5;24-34;24-39;Open;106.99;120;-220;-220;-220;;;;;;;;;;;;;;DQ;;;;;Yes;;;FIPL;IPF;2014-10-23;Italy;;Cecina;Coppa Italia a Squadre
Alessandro Artuso;M;SBD;Raw;25.5;24-34;24-39;Open;103.5;105;-155;155;165;;165;115;-120;-120;;115;200;-220;-220;;200;480;7;291.19;288.31;275.29;59.66;Yes;;;FIPL;IPF;2014-06-12;Italy;;Genova;Trofeo Bertoletti di Powerlifting Raw e di Panca Geared
Alessandro Artuso;M;D;Raw;25.5;24-34;24-39;Open;103.5;105;;;;;;;;;;;195;207.5;215;;215;215;9;130.43;129.14;123.31;;Yes;;;FIPL;IPF;2014-03-08;Italy;;Milan;Campionato Italiono Assoluto di Stacco
Alessandro Artuso;M;B;Single-ply;24.5;24-34;24-39;Open;102.5;105;;;;;;120;125;130;;130;;;;;;130;4;79.18;78.36;74.83;40.83;Yes;;;FIPL;IPF;2013-12-14;Italy;;S. Zenone;Campionato di Panca e Trofeo Nazionale di Panca Raw
