Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alessandro Camparsi;M;B;Raw;33.5;24-34;24-39;Senior;102.59;105;;;;;;147.5;-152.5;-152.5;;147.5;;;;;;147.5;12;89.81;88.88;84.87;66.76;Yes;;;FIPL;IPF;2022-06-24;Italy;;S.Zenone al Lambro;8 Gara Nazionale Coppa Bertoletti di Panca Classic
Alessandro Camparsi;M;B;Raw;33.5;24-34;24-39;Senior;105;105;;;;;;147.5;-152.5;-152.5;;147.5;;;;;;147.5;14;88.96;88.14;84.16;66.05;Yes;;;FIPL;IPF;2022-01-22;Italy;;S.Zenone al Lambro;6 Gara Nazionale Open di panca classic maschile e femminile
Alessandro Camparsi;M;B;Raw;32.5;24-34;24-39;Senior;104.4;105;;;;;;145;150;-155;;150;;;;;;150;16;90.67;89.81;85.76;67.34;Yes;;;FIPL;IPF;2021-10-09;Italy;;S.Zenone al Lambro;7 Gara Nazionale di panca classica Coppa Bertoletti
Alessandro Camparsi;M;B;Raw;31.5;24-34;24-39;Senior;104.98;105;;;;;;140;145;147.5;;147.5;;;;;;147.5;3;88.96;88.15;84.17;66.05;Yes;;;FIPL;IPF;2020-08-07;Italy;;;17° Coppa Bertoletti di Panca Classic
Alessandro Camparsi;M;D;Raw;31.5;24-34;24-39;Open;103.83;105;;;;;;;;;;;230;-250;-250;;230;230;19;139.35;137.99;131.76;;Yes;;;FIPL;IPF;2020-02-14;Italy;;San Zenone al Lambro;20° Campionato Italiano di Stacco Gear e 1° Campionato Italiano Senior di Stacco Classic
Alessandro Camparsi;M;D;Raw;30.5;24-34;24-39;Open;103.72;105;;;;;;;;;;;240;245;;;245;245;19;148.50;147.04;140.40;;Yes;;;FIPL;IPF;2019-02-21;Italy;;San Zenone al Lambro;XIX Campionato Italiano Open di Stacco e V Campionato Italiano Open Classic di Stacco
Alessandro Camparsi;M;B;Raw;29.5;24-34;24-39;Open;104.42;105;;;;;;135;140;145;;145;;;;;;145;4;87.65;86.82;82.90;65.09;Yes;;;FIPL;IPF;2018-07-21;Italy;;San Zenone al Lambro;XV Trofeo Nazionale di Panca Bertoletti Classic e Equipped
Alessandro Camparsi;M;D;Raw;29.5;24-34;24-39;Open;104.76;105;;;;;;;;;;;222.5;235;-242.5;;235;235;15;141.86;140.54;134.20;;Yes;;;FIPL;IPF;2018-02-23;Italy;;Vaiano;18° Campionato Italiano di Stacco e 4° Campionato Classic Raw di Stacco
Alessandro Camparsi;M;B;Raw;28.5;24-34;24-39;Open;104.79;105;;;;;;147.5;-150;-150;;147.5;;;;;;147.5;9;89.03;88.20;84.22;66.11;Yes;;;FIPL;IPF;2017-12-15;Italy;;Cecina;XVIII Campionato Italiano di Panca e III Campionato Classic di Panca
Alessandro Camparsi;M;B;Single-ply;28.5;24-34;24-39;Open;104.16;105;;;;;;180;-185;-185;;180;;;;;;180;4;108.91;107.87;103.00;56.10;Yes;;;FIPL;IPF;2017-07-28;Italy;;San Zenone al Lambro;XIV Trofeo Bertoletti
