Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alessandro Malaspina;M;B;Single-ply;27.5;24-34;24-39;Open;72.07;74;;;;;;-120;120;-125;;120;;;;;;120;3;88.37;87.98;85.16;47.83;Yes;;;FIPL;IPF;2016-06-14;Italy;;Taneto di Gattatico;XIII Coppa Bertoletti di Panca e II Campionato Classic di Powerlifting Raw
Alessandro Malaspina;M;D;Single-ply;26.5;24-34;24-39;Open;78.7;83;;;;;;;;;;;205;-220;-220;;205;205;13;142.74;141.43;136.37;;Yes;;;FIPL;IPF;2015-02-27;Italy;;Levico Terme;15° Campionato Italiano Assoluto di Stacco e 4° Trofeo di Stacco Raw
Alessandro Malaspina;M;B;Single-ply;25.5;24-34;24-39;Open;76.43;83;;;;;;125;-130;-132.5;;125;;;;;;125;7;88.61;87.92;84.89;47.38;Yes;;;FIPL;IPF;2014-06-12;Italy;;Genova;Trofeo Bertoletti di Powerlifting Raw e di Panca Geared
Alessandro Malaspina;M;D;Single-ply;25.5;24-34;24-39;Open;78.49;83;;;;;;;;;;;200;215;-225;;215;215;21;149.95;148.58;143.28;;Yes;;;FIPL;IPF;2014-03-08;Italy;;Milan;Campionato Italiono Assoluto di Stacco
Alessandro Malaspina;M;B;Single-ply;24.5;24-34;24-39;Open;78.6;83;;;;;;125;-135;-135;;125;;;;;;125;9;87.11;86.31;83.22;46.33;Yes;;;FIPL;IPF;2013-12-14;Italy;;S. Zenone;Campionato di Panca e Trofeo Nazionale di Panca Raw
Alessandro Malaspina;M;SBD;Single-ply;24.5;24-34;24-39;Open;73;74;165;175;-182.5;;175;115;120;125;;125;190;-205;-205;;190;490;7;357.76;355.92;344.30;61.26;Yes;;;FIPL;IPF;2013-04-26;Italy;;Salsomaggiore;Campionato Italiano Assoluto
Alessandro Malaspina;M;D;Single-ply;24.5;24-34;24-39;Open;72.8;74;;;;;;;;;;;185;200;-210;;200;200;7;146.29;145.56;140.83;;Yes;;;FIPL;IPF;2013-03-09;Italy;;Trento;Campionato di Stacco
Alessandro Malaspina;M;SBD;Single-ply;23.5;24-34;24-39;Open;71.6;74;145;160;-170;;160;110;117.5;-122.5;;117.5;170;185;-202.5;;185;462.5;6;342.08;340.74;329.89;58.57;Yes;;;FIPL;IPF;2012-10-26;Italy;;Cecina;Coppa Italia a Squadre
Alessandro Malaspina;M;B;Single-ply;23.5;24-34;24-39;Open;73.6;74;;;;;;-110;-117.5;-117.5;;;;;;;;;DQ;;;;;Yes;;;FIPL;IPF;2012-06-15;Italy;;Senigallia;Trofeo Bertoletti di Powerlifting Raw e di Panca Geared
Alessandro Malaspina;M;SBD;Raw;23.5;24-34;24-39;Open;72.6;74;120;130;-135;;130;-85;90;-95;;90;155;165;172.5;;172.5;392.5;12;287.62;286.23;276.96;58.20;Yes;;;FIPL;IPF;2012-06-15;Italy;;Senigallia;Trofeo Bertoletti di Powerlifting Raw e di Panca Geared
Alessandro Malaspina;M;D;Single-ply;23.5;24-34;24-39;Open;71.7;74;;;;;;;;;;;160;-175;180;;180;180;7;133.01;132.48;128.25;;Yes;;;FIPL;IPF;2012-03-10;Italy;;Ferrara;Campionato di Stacco
Alessandro Malaspina;M;B;Single-ply;22.5;20-23;19-23;Junior;71.1;74;;;;;;-100;105;-110;;105;;;;;;105;3;78.03;77.76;75.31;42.37;Yes;;;FIPL;IPF;2011-12-10;Italy;;Cecina;Campionato di Panca
