Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alessio Marazzini;M;SBD;Raw;39.5;35-39;40-49;Master I;91.93;93;125;135;145;;145;85;92.5;97.5;;97.5;175;187.5;200;;200;442.5;4;283.12;279.52;267.66;58.22;Yes;Italy;;FIPL;IPF;2020-10-10;Italy;;San Zenone al Lambro;3° Campionato Italiano Classic Master
Alessio Marazzini;M;B;Single-ply;;;;Open;91.8;93;;;;;;-165;-165;;;;;;;;;;DQ;;;;;Yes;Italy;;FIPL;IPF;2012-12-08;Italy;;Golfo Aranci;Campionato di Panca
Alessio Marazzini;M;B;Single-ply;;;;Open;92.2;93;;;;;;172.5;177.5;182.5;;182.5;;;;;;182.5;4;116.60;115.12;110.22;60.67;Yes;Italy;;FIPL;IPF;2011-12-10;Italy;;Cecina;Campionato di Panca
Alessio Marazzini;M;B;Single-ply;;;;Open;88;93;;;;;;165;175;-180;;175;;;;;;175;3;114.46;113.03;108.44;59.87;Yes;Italy;;FIPL;IPF;2011-06-17;Italy;;S. Zenone al Lambro;Trofeo Bertoletti di Powerlifting Raw e di Panca Geared
Alessio Marazzini;M;B;Single-ply;;;;Open;88.1;90;;;;;;165;170;172.5;;172.5;;;;;;172.5;3;112.76;111.35;106.82;58.98;Yes;Italy;;FIPL;IPF;2010-12-04;Italy;;S. Zenone;Campionato di Panca
Alessio Marazzini;M;B;Single-ply;;;;Junior;88.4;90;;;;;;150;160;-165;;160;;;;;;160;1;104.41;103.10;98.89;54.58;Yes;Italy;;FIPL;IPF;2010-06-12;Italy;;Montecatini Terme;Trofeo di Panca Memorial Bertoletti
Alessio Marazzini;M;SBD;Single-ply;;;;Open;89.9;90;250;-260;260;;260;-170;-170;-170;;;;;;;;;DQ;;;;;Yes;Italy;;FIPL;IPF;2010-04-23;Italy;;Terni;Campionato Italiano Assoluto
Alessio Marazzini;M;D;Single-ply;29;24-34;24-39;Open;91.2;100;;;;;;;;;;;235;245;-250;;245;245;4;157.37;155.37;148.82;;Yes;Italy;;FIPL;IPF;2010-03-06;Italy;;Taneto di Gattatico;Campionato di Stacco
Alessio Marazzini;M;B;Single-ply;;;;Open;92.7;100;;;;;;175;-185;-185;;175;;;;;;175;2;111.52;110.10;105.39;57.99;Yes;Italy;;FIPL;IPF;2009-12-05;Italy;;Rosignano Solvay;Campionato di Panca
Alessio Marazzini;M;SBD;Raw;;;;Open;94.6;100;185;200;210;;210;120;127.5;-132.5;;127.5;215;230;240;;240;577.5;3;364.47;359.91;344.26;74.93;Yes;Italy;;FIPL;IPF;2009-10-25;Italy;;Terni;Coppa Italia a Squadre
Alessio Marazzini;M;D;Single-ply;;;;Open;88.7;90;;;;;;;;;;;220;230;-235;;230;230;4;149.82;147.94;141.87;;Yes;Italy;;FIPL;IPF;2008-07-19;Italy;;Pescara;Campionato di Stacco
Alessio Marazzini;M;B;Single-ply;;;;Open;87;90;;;;;;-160;-160;-160;;;;;;;;;DQ;;;;;Yes;Italy;;FIPL;IPF;2007-12-15;Italy;;Vizzolo;Campionato di Panca
Alessio Marazzini;M;SBD;Single-ply;26.5;24-34;24-39;Open;88.1;90;250;-260;-260;;250;160;-165;-165;;160;230;-240;;;230;640;7;418.36;413.13;396.32;71.45;Yes;Italy;;EPF;IPF;2007-09-22;Belgium;;Eghezee-Charleroi;Western European Cup
Alessio Marazzini;M;B;Single-ply;;;;Open;89.8;90;;;;;;145;160;-180;;160;;;;;;160;2;103.57;102.26;98.01;54.05;Yes;Italy;;FIPL;IPF;2007-06-30;Italy;;Vasto;Trofeo di Panca Memorial Bertoletti
Alessio Marazzini;M;D;Single-ply;;;;Open;88.1;90;;;;;;;;;;;250;-260;-260;;250;250;4;163.42;161.38;154.81;;Yes;Italy;;FIPL;IPF;2007-06-09;Italy;;Modena;Campionato di Stacco
Alessio Marazzini;M;SBD;Single-ply;;;;Open;89.7;90;250;265;272.5;;272.5;155;162.5;-172.5;;162.5;240;255;-262.5;;255;690;2;446.91;441.24;422.95;76.28;Yes;Italy;;FIPL;IPF;2007-04-28;Italy;;Peregallo di Lesmo;Campionato Italiano Assoluto
Alessio Marazzini;M;B;Single-ply;;;;Open;90.3;100;;;;;;160;-170;-170;;160;;;;;;160;5;103.28;101.97;97.71;53.86;Yes;Italy;;FIPL;IPF;2006-12-16;Italy;;San Giuliano;Campionato di Panca
Alessio Marazzini;M;SBD;Single-ply;;;;Open;90;90;-230;240;-260;;240;150;160;167.5;;167.5;-230;230;-240;;230;637.5;3;412.21;406.98;390.05;70.35;Yes;Italy;;FIPL;IPF;2006-11-25;Italy;;Marina Di Carrara;Coppa Italia a Squadre
Alessio Marazzini;M;B;Single-ply;;;;Open;87;90;;;;;;140;-150;-160;;140;;;;;;140;6;92.12;90.98;87.33;48.26;Yes;Italy;;FIPL;IPF;2006-06-17;Italy;;Vizzolo;Trofeo di Panca Memorial Bertoletti
Alessio Marazzini;M;B;Single-ply;;;;Open;89.9;90;;;;;;150;160;-170;;160;;;;;;160;5;103.51;102.20;97.95;54.01;Yes;Italy;;FIPL;IPF;2005-12-10;Italy;;Cascina;Campionato di Panca
Alessio Marazzini;M;SBD;Single-ply;;;;Open;89;90;230;-250;-260;;230;145;155;-165;;155;235;-250;-250;;235;620;3;403.17;398.09;381.71;68.83;Yes;Italy;;FIPL;IPF;2005-11-05;Italy;;Marina Di Carrara;Coppa Italia a Squadre
Alessio Marazzini;M;B;Single-ply;;;;Open;90;90;;;;;;160;-170;-170;;160;;;;;;160;7;103.46;102.14;97.89;53.97;Yes;Italy;;FIPL;IPF;2005-06-11;Italy;;Vizzolo;Trofeo di Panca Memorial Bertoletti
Alessio Marazzini;M;SBD;Single-ply;;;;Open;89.5;90;230;245;255;;255;140;150;160;;160;230;240;-250;;240;655;3;424.72;419.34;401.99;72.50;Yes;Italy;;FIPL;IPF;2005-04-23;Italy;;Trento;Campionato Italiano Assoluto
Alessio Marazzini;M;D;Single-ply;;;;Open;84;90;;;;;;;;;;;235;-255;-255;;235;235;3;157.59;155.76;149.75;;Yes;Italy;;FIPL;IPF;2005-03-12;Italy;;Terni;Campionato di Stacco
Alessio Marazzini;M;B;Single-ply;;;;Open;86;90;;;;;;140;-152.5;-155;;140;;;;;;140;8;92.69;91.56;87.93;48.63;Yes;Italy;;FIPL;IPF;2004-12-04;Italy;;Terni;Campionato di Panca
Alessio Marazzini;M;SBD;Single-ply;;;;Open;85.2;90;210;-225;225;;225;-130;140;150;;150;230;245;-262.5;;245;620;4;412.55;407.63;391.64;70.52;Yes;Italy;;FIPL;IPF;2004-11-06;Italy;;Marina Di Carrara;Coppa Italia A Squadre
