Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alesya Petukhova;F;B;Single-ply;23.5;24-34;24-39;Open;51.9;52;;;;;;-102.5;102.5;-115;;102.5;;;;;;102.5;5;125.10;127.97;113.44;71.14;Yes;Russia;;FPR;IPF;2021-02-11;Russia;TUL;Tula;Russian Bench Press Championships
Alesya Petukhova;F;B;Single-ply;22.5;20-23;19-23;Open;54.54;57;;;;;;105;-110;110;;110;;;;;;110;1;129.77;132.13;116.95;73.39;Yes;Russia;;FPR;IPF;2020-12-17;Russia;NIZ;Gorodets;ZMS Maxsim Guryanov Bench Press Tournament
Alesya Petukhova;F;B;Raw;22.5;20-23;19-23;Open;54.58;57;;;;;;72.5;77.5;82.5;;82.5;;;;;;82.5;1;97.28;99.04;87.66;75.82;Yes;Russia;;FPR;IPF;2020-12-17;Russia;NIZ;Gorodets;ZMS Maxsim Guryanov Bench Press Tournament
Alesya Petukhova;F;SBD;Raw;22.5;20-23;19-23;Juniors;55.15;57;;;;;105;;;;;80;;;;;125;310;9;363.00;369.15;326.64;74.58;Yes;Russia;;FPR;IPF;2020-03-15;Russia;ARK;Arkhangelsk;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Alesya Petukhova;F;B;Single-ply;22.5;20-23;19-23;Juniors;53.46;57;;;;;;100;105;112.5;;112.5;;;;;;112.5;3;134.54;137.26;121.56;76.24;Yes;Russia;;FPR;IPF;2020-02-15;Russia;MOW;Moscow;Russian Juniors & Sub-Juniors Bench Press Championships
Alesya Petukhova;F;B;Raw;22.5;20-23;19-23;Juniors;52.56;57;;;;;;75;80;-82.5;;80;;;;;;80;4;96.79;98.91;87.64;75.86;Yes;Russia;;FPR;IPF;2020-02-15;Russia;MOW;Moscow;Russian Juniors & Sub-Juniors Classic Bench Press Championships
Alesya Petukhova;F;SBD;Raw;21.5;20-23;19-23;Open;51.95;52;;;;;95;;;;;75;;;;;120;290;2;353.72;361.79;320.71;73.29;Yes;Russia;;FPR;IPF;2019-12-04;Russia;SA;Yakutsk;Far Eastern Powerlifting Championships
Alesya Petukhova;F;SBD;Single-ply;21.5;20-23;19-23;Open;51.85;52;;;;;145;;;;;95;;;;;132.5;372.5;1;454.95;465.41;412.59;76.01;Yes;Russia;;FPR;IPF;2019-12-04;Russia;SA;Yakutsk;Far Eastern Powerlifting Championships
Alesya Petukhova;F;SBD;Raw;21.5;20-23;19-23;Juniors;51.64;52;;;;;100;;;;;75;;;;;120;295;4;361.32;369.73;327.83;74.94;Yes;Russia;;FPR;IPF;2019-02-27;Russia;MOW;Moscow;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Alesya Petukhova;F;B;Raw;21.5;20-23;19-23;Juniors;51.9;52;;;;;;70;72.5;-75;;72.5;;;;;;72.5;1;88.49;90.52;80.24;69.52;Yes;Russia;;FPR;IPF;2019-02-18;Russia;SVE;Yekaterinburg;Russian Juniors & Sub-Juniors Classic Bench Press Championships
