Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Anderson;M;SBD;Raw;27;24-34;24-39;Open;73.4;75;155;-162.5;-167.5;;155;110;120;-127.5;;120;215;230;242.5;;242.5;517.5;1;376.48;374.41;362.11;76.30;;USA;FL;USPA;IPL;2020-07-25;USA;FL;Port St. Lucie;Iron Knightmare
Alexander Anderson;M;SBD;Raw;;;;M-C-Open;90.5;93;215;227.5;-232.5;;227.5;155;162.5;-165;;162.5;227.5;245;-275;;245;635;2;409.45;404.25;387.34;84.19;Yes;Scotland;;ScottishPL;IPF;2019-07-21;Scotland;;;Scottish Classic Championships
Alexander Anderson;M;B;Raw;;;;M-C-Open;91;93;;;;;;155;162.5;-170;;162.5;;;;;;162.5;4;104.49;103.16;98.83;77.93;Yes;;;BP;IPF;2019-02-23;UK;;Newport Pagnell;British Classic Bench Press Championships
Alexander Anderson;M;SBD;Raw;;;;M-C-Open;89.5;93;215;225;230;;230;150;157.5;160;;160;225;235;-240;;235;625;1;405.27;400.13;383.58;83.32;Yes;;;ScottishPL;IPF;2018-10-14;Scotland;;;Scottish Open
Alexander Anderson;M;SBD;Raw;19.5;20-23;19-23;MR-O;91.8;93;-181.44;181.44;-185.97;;181.44;127.01;-136.08;-136.08;;127.01;249.48;-272.16;-272.16;;249.48;557.92;1;357.22;352.68;337.72;73.45;Yes;USA;MN;USAPL;IPF;2018-10-06;USA;WI;;Western Wisconsin Open
Alexander Anderson;M;BD;Raw;;;;M-C-Open;89.1;93;;;;;;142.5;-150;150;;150;225;242.5;-250;;242.5;392.5;1;255.09;251.87;241.50;;Yes;;;ScottishPL;IPF;2018-06-12;Scotland;;Edinburgh;Scottish Push Pull & Bench Press Championships
Alexander Anderson;M;SBD;Raw;18.5;18-19;19-23;MR-T3;91.9;93;167.5;-185;185;;185;125;-137.5;;;125;250;-270;;;250;560;2;358.36;353.80;338.79;73.69;Yes;USA;MN;USAPL;IPF;2017-12-09;USA;MN;;Pounds for Paws
Alexander Anderson;M;SBD;Raw;;;;M-C-U23;82;83;197.5;210;-222.5;;210;130;140;142.5;;142.5;227.5;240;-247.5;;240;592.5;10;402.75;398.37;383.42;82.52;Yes;Scotland;;BP;IPF;2017-11-25;UK;;;British Junior Classic Championships
Alexander Anderson;M;B;Raw;;;;Juniors;81.05;83;;;;;;137.5;-142.5;142.5;;142.5;;;;;;142.5;2;97.51;96.50;92.92;72.46;Yes;;;CommonwealthPF;IPF;2017-09-11;South Africa;;Potchefstroom;Commonwealth Championships
Alexander Anderson;M;B;Raw;;;;M-C-Open;81.4;83;;;;;;137.5;142.5;-147.5;;142.5;;;;;;142.5;1;97.27;96.24;92.66;72.30;Yes;;;ScottishPL;IPF;2017-05-28;Scotland;;Motherwell;Scottish Classic Championships
Alexander Anderson;M;SBD;Raw;;;;M-C-U23;78.3;83;150;160;170;;170;135;-140;-140;;135;200;215;225;;225;530;7;370.18;366.85;353.81;75.58;Yes;;;ScottishPL;IPF;2017-04-01;Scotland;;Motherwell;SP University/College Championships
Alexander Anderson;M;SBD;Raw;;;;M-C-Open;73.5;74;-192.5;-192.5;-192.5;;;120;-125;-125;;120;;;;;;;DQ;;;;;Yes;;;ScottishPL;IPF;2017-03-05;Scotland;;Motherwell;Scottish Powerlifting Western Districts
Alexander Anderson;M;SBD;Raw;;20-23;19-23;M-C-U23;81;83;-200;200;-210;;200;132.5;-137.5;140;;140;190;205;212.5;;212.5;552.5;2;378.22;374.28;360.43;77.43;Yes;;;ScottishPL;IPF;2016-08-15;Scotland;;;Fife Open
