Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Burgazzoli;M;SBD;Raw;28;24-34;24-39;MR-O;125.76;120+;240;255;272.5;;272.5;160;172.5;-177.5;;172.5;240;255;-272.5;;255;700;2;395.97;398.41;381.04;79.75;Yes;USA;FL;USAPL;IPF;2019-07-06;USA;FL;;8th Annual Central Florida Open Championships
Alexander Burgazzoli;M;SBD;Wraps;27;24-34;24-39;M_OCR_APF;115.44;125;225;242.5;260;;260;150;155;;;155;225;245;-252.5;;245;660;2;384.10;383.11;366.77;78.04;;USA;;APF;WPC;2018-10-13;USA;FL;Orlando;Southern States
Alexander Burgazzoli;M;SBD;Raw;27;24-34;24-39;Open;109;110;;;;;255;;;;;152.5;;;;;240;647.5;1;384.82;382.13;365.13;78.58;;USA;FL;USPA;IPL;2018-09-29;USA;WV;Fairmont;6th Annual Bar Fight
Alexander Burgazzoli;M;SBD;Raw;27;24-34;24-39;Open;123.3;125;;;;;250;;;;;172.5;;;;;250;672.5;6;382.81;384.31;368.11;77.26;;USA;FL;USPA;IPL;2018-02-16;USA;FL;Tampa;Battle of the Bay IV
Alexander Burgazzoli;M;SBD;Raw;27;24-34;24-39;MR-O;118;120;227.5;235;240;;240;110;157.5;165;;165;227.5;240;245;;245;650;1;375.42;375.20;359.44;76.12;Yes;USA;FL;USAPL;IPF;2018-01-13;USA;FL;;Boynton Barbell Center Championship
Alexander Burgazzoli;M;SBD;Raw;26;24-34;24-39;Open;118.4;125;;;;;237.5;;;;;160;;;;;240;637.5;2;367.77;367.68;352.27;74.54;;USA;FL;USPA;IPL;2017-06-24;USA;WV;Fairmont;4th Annual IBC Classic
Alexander Burgazzoli;M;SBD;Raw;26;24-34;24-39;Open;110.4;125;;;;;227.5;;;;;150;;;;;227.5;605;6;357.83;355.64;339.94;72.99;;USA;FL;USPA;IPL;2017-03-03;USA;FL;Tampa;Battle of the Bay 3
Alexander Burgazzoli;M;SBD;Raw;25;24-34;24-39;MR-O;114.2;120;185;195;205;;205;137.5;145;150;;150;-212.5;-212.5;-212.5;;;;DQ;;;;;Yes;USA;FL;USAPL;IPF;2016-03-20;USA;FL;;Orlando Open Championships
Alexander Burgazzoli;M;SBD;Raw;24;24-34;24-39;Open;108.1;110;;;;;190;;;;;137.5;;;;;227.5;555;2;330.90;328.41;313.74;67.61;;USA;NY;USPA;IPL;2015-10-24;USA;WV;Fairmont;3rd Annual IBC Bar Fight
Alexander Burgazzoli;M;SBD;Raw;24;24-34;24-39;MR-O;91.2;93;167.5;-185;-185;;167.5;125;-135;-135;;125;190;192.5;195;;195;487.5;15;313.14;309.16;296.13;64.39;Yes;USA;;USAPL;IPF;2015-05-30;USA;NC;;North Carolina State Championships
