Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Burlakov;M;SBD;Raw;58;55-59;50-59;M_MR_4_WPC;110.4;125;190;195;200;;200;155;165;170;;170;195;205;-210;;205;575;1;340.09;338.01;323.09;69.37;;Russia;;WPC;WPC;2017-07-03;Finland;;Helsinki;European Championships
Alexander Burlakov;M;SBD;Raw;56;55-59;50-59;M_MR_4_WPC;123.3;125;200;210;215;;215;185;-197.5;-197.5;;185;190;200;210;;210;610;1;347.23;348.60;333.90;70.08;;Russia;;WPC;WPC;2015-11-09;Portugal;;Maia;World Championships
Alexander Burlakov;M;B;Raw;56;55-59;50-59;Pro Masters 55-59;123.5;125;;;;;;180;192.5;-200;;192.5;;;;;;192.5;1;109.52;109.97;105.32;80.23;;Russia;;WPC-RUS;WPC;2015-05-09;Russia;NIZ;Nizhny Novgorod;Open Tournament Victory Cup
Alexander Burlakov;M;SBD;Raw;55;55-59;50-59;Pro Masters 55-59;125;125;200;210;215;;215;165;175;185;;185;200;215;225;;225;625;1;354.22;356.15;340.83;71.39;;Russia;;WPC-RUS;WPC;2014-05-28;Russia;KRS;Kursk;Russian Championships
Alexander Burlakov;M;SBD;Raw;54;50-54;50-59;M_MR_3_WPC;132.4;140;210;225;-236;;225;175;190;-205;;190;230;-250;;;230;645;1;359.20;363.64;346.98;71.92;;Russia;;WPC;WPC;2013-10-26;Czechia;;Pargue;World Championship
Alexander Burlakov;M;SBD;Raw;54;50-54;50-59;M 50-54;131.3;140;210;215;220;;220;180;195;205;;205;230;245;255;;255;680;1;379.63;383.93;366.53;76.08;;Russia;;WPC;WPC;2013-06-02;Portugal;;Vila do Conde;European Championships
Alexander Burlakov;M;SBD;Raw;52;50-54;50-59;M_MR_3_WPC;133;140;200;210;217.5;;217.5;160;170;185;;185;200;220;232.5;;232.5;635;1;353.16;357.73;341.24;70.67;;Russia;;WPC;WPC;2011-11-14;Latvia;;Riga;World Championships
Alexander Burlakov;M;SBD;Wraps;52;50-54;50-59;M_MCR_3_WPC;124.9;125;185;195;200;;200;150;157.5;-162.5;;157.5;190;200;220.5;;220.5;578;2;327.67;329.42;315.27;66.04;;Russia;;WPC;WPC;2011-06-25;Czechia;;Praha;European Championships
Alexander Burlakov;M;SBD;Wraps;51;50-54;50-59;M 50-54;124.2;125;-190;190;-205;;190;150;160;-167.5;;160;170;180;;;180;530;1;300.99;302.42;289.55;60.70;Yes;Russia;;WPC;WPC;2010-03-16;Russia;KRS;Kursk;Eastern European Championships
Alexander Burlakov;M;SBD;Raw;50;50-54;50-59;M 50-54;120.7;125;190;202.5;-207.5;;202.5;150;-160;-167.5;;150;185;-195;;;185;537.5;1;308.09;308.61;295.73;62.32;Yes;Russia;;WPC;WPC;2009-10-01;Russia;ROS;Rostov-on-Don;Raw World Championships
Alexander Burlakov;M;SBD;Raw;50;50-54;50-59;M_MR_3_AWPC;121.75;125;-187.5;187.5;200;;200;-155;155;-170;;155;172.5;192.5;;;192.5;547.5;1;312.94;313.74;300.62;63.25;Yes;Russia;;WPC;WPC;2009-08-04;Russia;;Kursk;Eurasian Powerlifting and Bench Press Championships
