Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Glover;M;B;Raw;31;24-34;24-39;Open;81.8;82.5;;;;;;155;-160;-160;;155;;;;;;155;2;105.51;104.37;100.46;78.44;;USA;NY;USPA;IPL;2022-07-07;USA;NV;Las Vegas;National Championships
Alexander Glover;M;D;Raw;31;24-34;24-39;Open;81.8;82.5;;;;;;;;;;;260;277.5;280;;280;280;2;190.59;188.54;181.48;;;USA;NY;USPA;IPL;2022-07-07;USA;NV;Las Vegas;National Championships
Alexander Glover;M;D;Raw;30;24-34;24-39;Open;82.3;82.5;;;;;;;;;;;255;265;272.5;;272.5;272.5;1;184.84;182.82;175.92;;;USA;NY;IPL;IPL;2021-11-26;England;;Coventry;World Powerlifting Championship
Alexander Glover;M;B;Raw;30;24-34;24-39;Open;82.3;82.5;;;;;;-157.5;157.5;160;;160;;;;;;160;2;108.53;107.34;103.29;80.72;;USA;NY;IPL;IPL;2021-11-26;England;;Coventry;World Powerlifting Championship
Alexander Glover;M;D;Raw;28;24-34;24-39;Open;82;82.5;;;;;;;;;;;260;275;-277.5;;275;275;1;186.93;184.90;177.96;;;USA;NY;USPA;IPL;2020-03-07;USA;UT;Midvale;Utah Open & Big Mountain Expo
Alexander Glover;M;SBD;Raw;28;24-34;24-39;Open;82;82.5;215;227.5;-230;;227.5;157.5;-165;-165;;157.5;260;275;-277.5;;275;660;1;448.63;443.76;427.10;91.92;;USA;NY;USPA;IPL;2020-03-07;USA;UT;Midvale;Utah Open & Big Mountain Expo
Alexander Glover;M;B;Raw;28;24-34;24-39;Open;82;82.5;;;;;;157.5;-165;-165;;157.5;;;;;;157.5;1;107.06;105.90;101.92;79.60;;USA;NY;USPA;IPL;2020-03-07;USA;UT;Midvale;Utah Open & Big Mountain Expo
Alexander Glover;M;SBD;Raw;28;24-34;24-39;Open;81.8;82.5;185;195;205;;205;152.5;-162.5;-167.5;;152.5;252.5;267.5;272.5;;272.5;630;2;428.83;424.22;408.34;87.85;;USA;NY;USPA;IPL;2019-11-23;USA;NY;Niagara Falls;New York State Powerlifting Championships
Alexander Glover;M;B;Raw;28;24-34;24-39;Open;81.8;82.5;;;;;;152.5;-162.5;-167.5;;152.5;;;;;;152.5;1;103.80;102.69;98.84;77.17;;USA;NY;USPA;IPL;2019-11-23;USA;NY;Niagara Falls;New York State Powerlifting Championships
Alexander Glover;M;D;Raw;28;24-34;24-39;Open;81.8;82.5;;;;;;;;;;;252.5;267.5;272.5;;272.5;272.5;1;185.49;183.49;176.62;;;USA;NY;USPA;IPL;2019-11-23;USA;NY;Niagara Falls;New York State Powerlifting Championships
Alexander Glover;M;D;Raw;28;24-34;24-39;Open;82.1;82.5;;;;;;;;;;;;;;;270;270;1;183.40;181.40;174.59;;;USA;NY;USPA;IPL;2019-06-27;USA;OH;Columbus;National Championships
Alexander Glover;M;SBD;Raw;28;24-34;24-39;Open;82.1;82.5;;;;;225;;;;;165;;;;;270;660;3;448.32;443.43;426.76;91.87;;USA;NY;USPA;IPL;2019-06-27;USA;OH;Columbus;National Championships
Alexander Glover;M;B;Raw;28;24-34;24-39;Open;82.1;82.5;;;;;;;;;;165;;;;;;165;3;112.08;110.86;106.69;83.34;;USA;NY;USPA;IPL;2019-06-27;USA;OH;Columbus;National Championships
Alexander Glover;M;B;Raw;27;24-34;24-39;Open;82.1;82.5;;;;;;;;;;150;;;;;;150;1;101.89;100.78;96.99;75.77;;USA;NY;USPA;IPL;2018-11-17;USA;NY;Niagara Falls;New York State Powerlifting Championships
Alexander Glover;M;D;Raw;27;24-34;24-39;Open;82.1;82.5;;;;;;;;;;;;;;;257.5;257.5;1;174.91;173.01;166.50;;;USA;NY;USPA;IPL;2018-11-17;USA;NY;Niagara Falls;New York State Powerlifting Championships
Alexander Glover;M;SBD;Raw;27;24-34;24-39;Open;82.1;82.5;;;;;215;;;;;150;;;;;257.5;622.5;1;422.84;418.24;402.52;86.65;;USA;NY;USPA;IPL;2018-11-17;USA;NY;Niagara Falls;New York State Powerlifting Championships
Alexander Glover;M;B;Raw;27;24-34;24-39;Open;81.9;82.5;;;;;;;;;;150;;;;;;150;1;102.03;100.93;97.15;75.86;;USA;NY;USPA;IPL;2018-10-13;USA;NY;New Rochelle;ABTsolute Oktoberfest
Alexander Glover;M;SBD;Raw;27;24-34;24-39;Open;81.9;82.5;;;;;210;;;;;150;;;;;255;615;1;418.33;413.81;398.30;85.71;;USA;NY;USPA;IPL;2018-10-13;USA;NY;New Rochelle;ABTsolute Oktoberfest
Alexander Glover;M;D;Raw;27;24-34;24-39;Open;81.9;82.5;;;;;;;;;;;;;;;255;255;1;173.45;171.58;165.15;;;USA;NY;USPA;IPL;2018-10-13;USA;NY;New Rochelle;ABTsolute Oktoberfest
Alexander Glover;M;B;Raw;27;24-34;24-39;Open;81;82.5;;;;;;;;;;140;;;;;;140;1;95.84;94.84;91.33;71.21;;USA;NY;USPA;IPL;2018-08-11;USA;CT;South Windsor;Lightning Strikes
Alexander Glover;M;BD;Raw;27;24-34;24-39;Open;81;82.5;;;;;;;;;;140;;;;;250;390;1;266.98;264.20;254.42;;;USA;NY;USPA;IPL;2018-08-11;USA;CT;South Windsor;Lightning Strikes
Alexander Glover;M;SBD;Raw;27;24-34;24-39;Open;81;82.5;;;;;205;;;;;140;;;;;250;595;1;407.31;403.07;388.15;83.39;;USA;NY;USPA;IPL;2018-08-11;USA;CT;South Windsor;Lightning Strikes
Alexander Glover;M;D;Raw;27;24-34;24-39;Open;81;82.5;;;;;;;;;;;;;;;250;250;1;171.14;169.36;163.09;;;USA;NY;USPA;IPL;2018-08-11;USA;CT;South Windsor;Lightning Strikes
Alexander Glover;M;SBD;Raw;27;24-34;24-39;Open;81.45;82.5;;;;;190;;;;;145;;;;;247.5;582.5;2;397.48;393.26;378.61;81.41;;USA;NY;USPA;IPL;2018-07-07;USA;NY;Yorktown Heights;SMG's Summer Mayhem
