Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Ingi Olsen;M;SBD;Raw;27.5;24-34;24-39;Open;110.9;120;185;192.5;200;;200;140;145;-150;;145;205;220;230;;230;575;2;339.52;337.55;322.69;69.23;Yes;;;KRAFT;IPF;2020-09-12;Iceland;;Njarðvíkum;ÍM í klassískum kraftlyftingum
Alexander Ingi Olsen;M;D;Single-ply;19.5;20-23;19-23;Open;102.5;105;;;;;;;;;;;225;240;-250;;240;240;1;146.18;144.67;138.14;;Yes;;;KRAFT;IPF;2012-09-15;Iceland;;Kópavogur;Íslandsmeistaramót í réttstöðulyftu
Alexander Ingi Olsen;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;102.7;105;200;220;-230;;220;130;145;-160;;145;210;230;240;;240;605;2;368.20;364.43;347.98;62.47;Yes;;;KRAFT;IPF;2012-03-24;Iceland;;Reykjanesbær;Íslandsmeistaramót í kraftlyftingum
Alexander Ingi Olsen;M;SBD;Single-ply;19.5;20-23;19-23;Open;102.7;105;200;220;-230;;220;130;145;-160;;145;210;230;240;;240;605;2;368.20;364.43;347.98;62.47;Yes;;;KRAFT;IPF;2012-03-24;Iceland;;Reykjanesbær;Íslandsmeistaramót í kraftlyftingum
Alexander Ingi Olsen;M;SBD;Single-ply;18.5;18-19;19-23;Open;103.6;105;210;225;-235;;225;130;145;160;;160;210;230;-242.5;;230;615;4;372.94;369.26;352.59;63.25;Yes;;;KRAFT;IPF;2011-11-26;Iceland;;Akureyri;Bikarmót í kraftlyftingum
Alexander Ingi Olsen;M;B;Single-ply;18.5;18-19;19-23;Open;100.05;105;;;;;;130;140;150;;150;;;;;;150;1;92.31;91.27;87.17;47.68;Yes;;;KRAFT;IPF;2011-06-18;Iceland;;Kópavogur;Kópavogsmót í bekkpressu
Alexander Ingi Olsen;M;SBD;Single-ply;17.5;18-19;14-18;Open;98.2;100;-200;215;-225;;215;130;140;-150;;140;190;205;-210;;205;560;2;347.45;343.35;328.05;59.08;Yes;;;KRAFT;IPF;2010-11-21;Iceland;;Mosfellsbær;Bikarmót í kraftlyftingum
Alexander Ingi Olsen;M;SBD;Single-ply;17.5;18-19;14-18;Open;98.6;100;170;185;200;;200;110;120;-125;;120;180;200;-210;;200;520;1;322.05;318.29;304.08;54.75;Yes;;;KRAFT;IPF;2010-06-05;Iceland;;Kópavogur;Kópavogsmót í kraftlyftingum
Alexander Ingi Olsen;M;B;Single-ply;17.5;18-19;14-18;Open;97.9;100;;;;;;105;115;-120;;115;;;;;;115;3;71.45;70.60;67.46;36.97;Yes;;;KRAFT;IPF;2010-01-30;Iceland;;Akranes;Íslandsmeistaramót í bekkpressu
Alexander Ingi Olsen;M;D;Single-ply;16.5;16-17;14-18;Open;97.9;100;;;;;;;;;;;170;180;200;;200;200;3;124.26;122.78;117.32;;Yes;;;KRAFT;IPF;2009-11-22;Iceland;;Selfoss;Íslandsmeistaramót í réttstöðulyftu
