Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Kang;M;SBD;Single-ply;37;35-39;24-39;M-O;73.55;74;225;-245;-245;;225;100;150;-155;;150;180;200;205;;205;580;3;421.39;419.02;405.21;72.16;Yes;USA;VA;AMP;IPF;2022-06-18;USA;FL;Orlando;Nationals
Alexander Kang;M;B;Single-ply;36;35-39;24-39;M-O;72.13;74;;;;;;145;-150;-150;;145;;;;;;145;2;106.72;106.25;102.83;57.75;Yes;USA;VA;USAPL;IPF;2021-06-14;USA;FL;Daytona Beach;Equipped Bench Nationals
Alexander Kang;M;SBD;Single-ply;35;35-39;24-39;M-O;66.2;74;-245;-245;-245;;;25;;;;25;225;;;;225;;DQ;;;;;Yes;USA;VA;USAPL;IPF;2020-02-15;USA;MD;;Terrapin Open
Alexander Kang;M;SBD;Raw;34;24-34;24-39;MR-O;66;66;147.5;-157.5;157.5;;157.5;97.5;-102.5;-102.5;;97.5;205;-222.5;-225;;205;460;31;360.42;361.19;350.97;71.71;Yes;USA;VA;USAPL;IPF;2019-10-16;USA;IL;Lombard;Raw Nationals
Alexander Kang;M;SBD;Raw;34;24-34;24-39;MR-O;65.9;66;155;165;-170;;165;95;100;105;;105;215;235;;;235;505;2;396.13;397.02;385.81;78.78;Yes;USA;VA;USAPL;IPF;2019-08-24;USA;PA;;Mid-Atlantic Regionals
Alexander Kang;M;SBD;Single-ply;34;24-34;24-39;M-O;65.69;66;245;-260;-275;;245;25;-145;145;;145;225;245;255;;255;645;3;507.15;508.42;494.15;86.68;Yes;USA;VA;USAPL;IPF;2019-05-10;USA;IL;;Open Nationals
Alexander Kang;M;SBD;Single-ply;34;24-34;24-39;M-O;66.45;74;245;-260;272.5;;272.5;25;145;-147.5;;145;225;245;-250;;245;662.5;1;516.49;517.31;502.51;88.31;Yes;USA;VA;USAPL;IPF;2019-03-09;USA;VA;;Virginia Military and First Responder State Championships
Alexander Kang;M;SBD;Single-ply;34;24-34;24-39;M-O;65.6;66;-245;-245;-270;;;-25;;;;;-225;;;;;;DQ;;;;;Yes;USA;VA;USAPL;IPF;2018-12-15;USA;VA;;Virginia Holiday Havoc
Alexander Kang;M;SBD;Single-ply;33;24-34;24-39;M-O;65.7;66;245;260;267.5;;267.5;25;-27.5;-27.5;;25;65;-67.5;;;65;357.5;1;281.06;281.76;273.85;48.04;Yes;USA;MD;USAPL;IPF;2018-10-20;USA;VA;;Virginia Winter Wrecker
Alexander Kang;M;SBD;Single-ply;33;24-34;24-39;M-O;65.8;66;250;-265;265;;265;25;-147.5;147.5;;147.5;225;247.5;-250;;247.5;660;1;518.29;519.53;504.90;88.59;Yes;USA;MD;USAPL;IPF;2018-09-01;USA;DC;;Fall Filibuster
Alexander Kang;M;SBD;Single-ply;33;24-34;24-39;M-O;66;66;247.5;-262.5;262.5;;262.5;25;142.5;145;;145;225;245;-252.5;;245;652.5;1;511.25;512.34;497.85;87.40;Yes;USA;MD;USAPL;IPF;2018-07-14;USA;VA;;Virginia Summer Slam
Alexander Kang;M;SBD;Single-ply;33;24-34;24-39;M-O;65.8;66;245;255;-257.5;;255;-145;-145;-145;;;-225;-225;-225;;;;DQ;;;;;Yes;USA;MD;USAPL;IPF;2018-05-18;USA;WA;;Open Nationals
Alexander Kang;M;SBD;Single-ply;33;24-34;24-39;M-O;65.8;66;245;260;;;260;25;137.5;-140;;137.5;225;245;-250;;245;642.5;1;504.55;505.75;491.51;86.25;Yes;USA;MD;USAPL;IPF;2018-02-24;USA;PA;;Give Me Liberty or Give Me No Lift
Alexander Kang;M;SBD;Single-ply;33;24-34;24-39;M-O;66.2;74;245;257.5;-265;;257.5;90;-140;-140;;90;225;245;;;245;592.5;1;463.20;464.08;450.88;79.19;Yes;USA;MD;USAPL;IPF;2017-12-09;USA;MD;;Equinox Open
Alexander Kang;M;SBD;Single-ply;32;24-34;24-39;M-O;66;66;-242.5;245;;;245;25;-140;140;;140;220;240;-257.5;;240;625;1;489.70;490.75;476.86;83.72;Yes;USA;MD;USAPL;IPF;2017-10-14;USA;PA;;Philadelphia Fall Championship
Alexander Kang;M;D;Single-ply;32;24-34;24-39;M-O;66;66;;;;;;;;;;;227.5;-247.5;;;227.5;227.5;1;178.25;178.63;173.58;;Yes;USA;MD;USAPL;IPF;2017-09-16;USA;PA;;Deadlift and Push Pull Nationals
Alexander Kang;M;SBD;Single-ply;32;24-34;24-39;M-O;66;66;-240;245;255;;255;125;135;-140;;135;230;250;-255;;250;640;1;501.46;502.53;488.31;85.72;Yes;USA;MD;USAPL;IPF;2017-07-15;USA;MD;;Rumble on Pratt Street
Alexander Kang;M;SBD;Single-ply;32;24-34;24-39;M-O;65.32;66;230;245;-255;;245;130;135;-140;;135;237.5;257.5;-260;;257.5;637.5;3;503.37;504.87;490.83;86.02;Yes;USA;MD;USAPL;IPF;2017-05-19;USA;FL;;35th Annual Open National Championship
Alexander Kang;M;SBD;Single-ply;32;24-34;24-39;M-O;66.3;74;237.5;-252.5;;;237.5;25;125;-130;;125;227.5;247.5;-262.5;;247.5;610;1;476.35;477.19;463.59;81.44;Yes;USA;MD;USAPL;IPF;2017-03-18;USA;MD;;Exile Open
Alexander Kang;M;SBD;Single-ply;32;24-34;24-39;M-O;66.5;74;230;245;250;;250;25;-135;-135;;25;75;-77.5;-77.5;;75;350;1;272.71;273.13;265.31;46.63;Yes;USA;MD;USAPL;IPF;2016-12-17;USA;PA;;Philadelphia LOVE Championship
Alexander Kang;M;SBD;Single-ply;31;24-34;24-39;M-O;67.4;74;-225;225;-245;;225;90;125;-132.5;;125;227.5;247.5;-262.5;;247.5;597.5;1;461.02;461.23;447.74;78.86;Yes;USA;MD;USAPL;IPF;2016-08-20;USA;MD;;Maryland State Championship
Alexander Kang;M;D;Raw;31;24-34;24-39;MR-O;66;66;;;;;;;;;;;212.5;232.5;-250;;232.5;232.5;1;182.17;182.56;177.39;;Yes;USA;MD;USAPL;IPF;2016-08-13;USA;VA;;3rd Annual NoVa Open
Alexander Kang;M;SBD;Single-ply;31;24-34;24-39;M-O;65.7;66;225;-235;240;;240;135;-140;140;;140;235;255;-260;;255;635;5;499.23;500.47;486.42;85.33;Yes;USA;MD;USAPL;IPF;2016-05-20;USA;CO;;Open Nationals
