Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Moore;M;SBD;Wraps;26;24-34;24-39;Open;113.2;125;-275;275;-285;;275;175;-182.5;-182.5;;175;235;245;-250;;245;695;1;407.30;405.58;388.00;82.91;;USA;SC;USPA;IPL;2022-05-21;USA;SC;Columbia;South Carolina States
Alexander Moore;M;SBD;Wraps;25;24-34;24-39;Open;108.8;110;205;-225;250;;250;135;150;165;;165;-225;225;-265;;225;640;3;380.63;377.92;361.09;77.73;Yes;USA;SC;USPA;IPL;2022-02-05;USA;GA;Martinez;Drug Tested 3rd Annual Battle in the CSRA
Alexander Moore;M;SBD;Wraps;;20-23;;jr;92.53;100;;;;;297.5;;;;;167.5;;;;;237.5;702.5;3;448.06;442.37;423.48;92.13;Yes;USA;TX;NASA;;2020-02-22;USA;;;Natural Nationals
Alexander Moore;M;SBD;Wraps;;;;open;92.53;100;;;;;297.5;;;;;167.5;;;;;237.5;702.5;1;448.06;442.37;423.48;92.13;Yes;USA;TX;NASA;;2020-02-22;USA;;;Natural Nationals
Alexander Moore;M;BD;Raw;;20-23;;jr;92.53;100;;;;;;;;;;167.5;;;;;237.5;405;1;258.31;255.03;244.14;;Yes;USA;TX;NASA;;2020-02-22;USA;;;Natural Nationals
Alexander Moore;M;BD;Raw;;;;open;92.53;100;;;;;;;;;;167.5;;;;;237.5;405;1;258.31;255.03;244.14;;Yes;USA;TX;NASA;;2020-02-22;USA;;;Natural Nationals
Alexander Moore;M;SBD;Wraps;;;;open;88.27;90;;;;;287.5;;;;;165;;;;;260;712.5;1;465.29;459.46;440.72;95.64;Yes;USA;OK;NASA;;2019-10-19;USA;OK;;Oklahoma Grand
Alexander Moore;M;SBD;Wraps;;20-23;;jr;88.27;90;;;;;287.5;;;;;165;;;;;260;712.5;1;465.29;459.46;440.72;95.64;Yes;USA;OK;NASA;;2019-10-19;USA;OK;;Oklahoma Grand
Alexander Moore;M;SBD;Wraps;;20-23;;jr;96.71;100;;;;;297.5;;;;;172.5;;;;;265;735;1;459.17;453.59;433.56;94.35;Yes;USA;OK;NASA;;2019-06-22;USA;KS;;USA Nationals
Alexander Moore;M;SBD;Wraps;;20-23;;jr;92.53;100;;;;;250;;;;;157.5;;;;;257.5;665;1;424.14;418.76;400.87;87.21;Yes;USA;OK;NASA;;2017-12-02;USA;NM;;New Mexico Regional
Alexander Moore;M;SBD;Wraps;;20-23;;jr;88;90;;;;;262.5;;;;;140;;;;;252.5;655;1;428.42;423.07;405.87;88.05;Yes;USA;OK;NASA;;2017-08-05;USA;;;One Healthy Bod Expo
Alexander Moore;M;SBD;Wraps;;20-23;;jr;88;90;;;;;245;;;;;147.5;;;;;250;642.5;1;420.24;414.99;398.13;86.37;Yes;USA;OK;NASA;;2017-05-20;USA;OK;;Oklahoma State
Alexander Moore;M;SBD;Wraps;;20-23;;jr;88.95;90;;;;;245;;;;;147.5;;;;;245;637.5;1;414.67;409.44;392.61;85.24;Yes;USA;OK;NASA;;2016-10-29;USA;OK;;Oklahoma Regional
Alexander Moore;M;SBD;Raw;26.5;24-34;24-39;MR-O;91.4;93;212.5;222.5;-237.5;;222.5;122.5;130;137.5;;137.5;225;242.5;-250;;242.5;602.5;73;386.59;381.67;365.56;79.49;Yes;USA;IN;USAPL;IPF;2016-10-13;USA;GA;Atlanta;Raw Nationals
Alexander Moore;M;SBD;Wraps;;20-23;;jr;89.58;90;;;;;220;;;;;145;;;;;220;585;1;379.16;374.35;358.85;77.95;Yes;USA;SC;NASA;;2016-08-27;USA;;;Iron Sharpens Iron
Alexander Moore;M;SBD;Wraps;;20-23;;jr;87.32;90;;;;;220;;;;;142.5;;;;;232.5;595;1;390.75;385.91;370.36;80.29;Yes;USA;OK;NASA;;2016-04-23;USA;OK;;Oklahoma state
Alexander Moore;M;BD;Raw;;;;teen;87.41;90;;;;;;;;;;132.5;;;;;227.5;360;1;236.30;233.36;223.95;;Yes;USA;OK;NASA;;2016-02-13;USA;OK;Oklahoma City;Natural Nationals
Alexander Moore;M;SBD;Raw;;;;teen;87.41;90;;;;;217.5;;;;;132.5;;;;;227.5;577.5;1;379.06;374.35;359.25;77.89;Yes;USA;OK;NASA;;2016-02-13;USA;OK;Oklahoma City;Natural Nationals
Alexander Moore;M;SBD;Wraps;;;;nov;81.65;82.5;;;;;210;;;;;125;;;;;170;505;1;344.11;340.43;327.71;70.49;Yes;USA;OK;NASA;;2015-10-31;USA;OK;;Oklahoma Grand
