Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Nekipelov;M;B;Single-ply;23.5;24-34;24-39;Open;72.8;74;;;;;;190;-195;195;;195;;;;;;195;9;142.63;141.92;137.30;77.03;Yes;Russia;;FPR;IPF;2011-03-11;Russia;MOW;Bolshevik;Russian Bench Press Championships
Alexander Nekipelov;M;B;Raw;21.5;20-23;19-23;Pro Open;74.7;;;;;;;170;177.5;-182.5;;177.5;;;;;;177.5;2;127.67;126.83;122.57;94.19;;Russia;;WPC-RUS;WPC;2009-05-15;Russia;VLG;Vologda;Vologda Cup
Alexander Nekipelov;M;B;Multi-ply;21;20-23;19-23;Pro Open;74;75;;;;;;-220;-220;220;;220;;;;;;220;1;159.20;158.25;152.99;85.67;;Russia;;WPC-RUS;WPC;2008-11-15;Russia;VLG;Vologda;Vologodskaya Powerlifting and Bench Press Championships
Alexander Nekipelov;M;SBD;Multi-ply;20.5;20-23;19-23;Pro Open;75;75;-260;-260;260;;260;180;190;200;;200;230;250;265;;265;725;1;520.13;516.61;499.17;89.07;;Russia;;WPC-RUS;WPC;2008-05-18;Russia;VLG;Vologda;Vologodskaya Powerliftng & Bench Press Cup
Alexander Nekipelov;M;SBD;Multi-ply;20.5;20-23;19-23;Pro Open;75;75;-310;-325;-325;;;;;;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2008-02-16;Russia;VLG;Vologda;Vologda Bench Press Meet
Alexander Nekipelov;M;B;Multi-ply;20;20-23;19-23;Pro Open;74.2;75;;;;;;-210;215;;;215;;;;;;215;1;155.31;154.36;149.21;83.53;;Russia;;WPC-RUS;WPC;2007-12-01;Russia;VLG;Vologda;Vologodskaya Powerlifting and Bench Press Championships
Alexander Nekipelov;M;SBD;Multi-ply;20;20-23;19-23;J 20-23;73.55;75;-300;300;332.5;;332.5;190;205;-210;;205;250;-272.5;-272.5;;250;787.5;1;572.15;568.93;550.18;97.98;;Russia;;WPC;WPC;2007-08-15;Russia;KRS;Kursk;Eurasian Championships
Alexander Nekipelov;M;B;Multi-ply;20;20-23;19-23;J 20-23;74;75;;;;;;205;;;;205;;;;;;205;1;148.35;147.46;142.56;79.83;;Russia;;WPC;WPC;2007-08-15;Russia;KRS;Kursk;Eurasian Championships
Alexander Nekipelov;M;B;Multi-ply;19.5;20-23;19-23;Pro Open;72.6;75;;;;;;190;200;205;;205;;;;;;205;1;150.22;149.50;144.65;81.17;;Russia;;WPC-RUS;WPC;2007-05-12;Russia;VLG;Vologda;Vologodskaya Powerlifting and Bench Press Cup
Alexander Nekipelov;M;SBD;Multi-ply;19.5;20-23;19-23;Pro Open;72.6;75;280;-305;310;;310;195;200;207.5;;207.5;240;270;;;270;787.5;1;577.07;574.29;555.68;98.82;;Russia;;WPC-RUS;WPC;2007-05-12;Russia;VLG;Vologda;Vologodskaya Powerlifting and Bench Press Cup
