Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Omand;M;SBD;Multi-ply;48.5;45-49;40-49;Pro Masters 45-49;122.02;125;;;;;308.44;;;;;215.46;;;;;251.74;775.64;1;443.01;444.25;425.67;74.49;;;;RPS;;2021-11-06;USA;NJ;Newark;Autumn Apocalypse
Alexander Omand;M;SBD;Multi-ply;46.5;45-49;40-49;Pro Masters 45-49;120.11;125;;;;;306.17;;;;;206.38;;;;;251.74;764.3;2;438.81;439.32;420.98;73.84;;;;RPS;;2020-01-25;USA;NJ;Newark;New Jersey State & North American Championships
Alexander Omand;M;SBD;Wraps;45;45-49;40-49;Pro Masters 45-49;112.94;125;;;;;249.48;;;;;156.49;;;;;260.82;666.78;1;391.08;389.36;372.46;79.62;;;;RPS;;2018-09-15;USA;NJ;Newark;Women's Worlds and Supreme Iron Warrior
Alexander Omand;M;B;Multi-ply;45;45-49;40-49;Pro Masters 45-49;112.94;125;;;;;;;;;;188.24;;;;;;188.24;1;110.41;109.92;105.15;56.65;;;;RPS;;2018-09-15;USA;NJ;Newark;Women's Worlds and Supreme Iron Warrior
Alexander Omand;M;B;Raw;45;45-49;40-49;Pro Masters 45-49;112.13;125;;;;;;;;;;154.22;;;;;;154.22;1;90.69;90.24;86.30;67.02;;;;RPS;;2018-05-19;USA;NJ;Newark;Jersey Rumble
Alexander Omand;M;SBD;Wraps;44;40-44;40-49;Pro Masters 40-44;113.58;125;;;;;254.01;;;;;156.49;;;;;272.16;682.66;1;399.58;398.00;380.80;81.31;;;;RPS;;2017-11-04;USA;NJ;Newark;Autumn Apocalypse
Alexander Omand;M;SBD;Wraps;43.5;40-44;40-49;Pro Masters 40-44;108.23;110;;;;;240.4;;;;;158.76;;;;;263.08;662.24;1;394.65;391.71;374.22;80.63;;;;RPS;;2017-04-29;USA;NY;Utica;Spring Supremacy
Alexander Omand;M;SBD;Wraps;43.5;40-44;40-49;Pro Masters 40-44;108.41;110;;;;;242.67;;;;;154.22;;;;;265.35;662.24;1;394.40;391.51;374.04;80.56;;;;RPS;;2016-12-03;USA;VT;Fair Haven;Power Wars
Alexander Omand;M;SBD;Wraps;43;40-44;40-49;Pro Masters 40-44;107.77;110;;;;;240.4;;;;;145.15;;;;;229.06;614.62;1;366.88;364.05;347.76;74.97;;;;RPS;;2016-06-25;USA;CT;Hartford;Connecticut State Championships
Alexander Omand;M;SBD;Wraps;42;40-44;40-49;Pro Masters 40-44;108.95;110;;;;;247.21;;;;;151.95;;;;;276.69;675.85;1;401.74;398.92;381.17;82.03;;;;RPS;;2015-10-17;USA;MA;Boston;19th Annual Power Challenge Boston
Alexander Omand;M;SBD;Wraps;41.5;40-44;40-49;Pro Masters 40-44;108.68;110;;;;;229.06;;;;;149.69;;;;;263.08;641.83;1;381.88;379.14;362.24;77.99;;;;RPS;;2014-11-15;USA;NY;Merrick;InsurreXtion III
Alexander Omand;M;SBD;Wraps;41;40-44;40-49;Pro Masters 40-44;107.68;110;;;;;244.94;;;;;136.08;;;;;260.82;641.83;1;383.25;380.27;363.25;78.32;;;;RPS;;2014-08-09;USA;NY;Rochester;New York State Championships
Alexander Omand;M;SBD;Wraps;40.5;40-44;40-49;Pro Masters 40-44;107.32;110;;;;;238.14;;;;;147.42;;;;;272.16;657.71;1;393.24;390.11;372.62;80.39;;;;RPS;;2014-03-29;USA;RI;Johnston;New England Revolution
Alexander Omand;M;SBD;Wraps;40;40-44;40-49;Pro Masters 40-44;107.32;110;;;;;215.46;;;;;138.35;;;;;249.48;603.28;1;360.70;357.82;341.78;73.73;;;;RPS;;2013-08-10;USA;NY;Rochester;NY State Championships
Alexander Omand;M;SBD;Wraps;40;40-44;40-49;Pro Masters 40-44;105.87;110;;;;;229.06;;;;;138.35;;;;;267.62;635.03;1;381.72;378.38;361.35;78.10;;;;RPS;;2013-06-29;USA;CT;Hartford;Battle of Champions - Connecticut State Championships
Alexander Omand;M;SBD;Wraps;39;35-39;;Pro Submasters 33-39;103.15;110;;;;;215.46;;;;;122.47;;;;;254.01;591.94;1;359.60;355.98;339.91;73.69;;;;RPS;;2012-10-20;USA;MA;Attleboro;16th Annual Power Challenge Boston
Alexander Omand;M;SBD;Wraps;39;35-39;;Pro Submasters 33-39;105.05;110;;;;;195.04;;;;;120.2;;;;;242.67;557.92;1;336.42;333.33;318.30;68.87;;;;RPS;;2012-06-30;USA;CT;Hartford;Battle of Champions CT State Championships
