Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Panaskin;M;B;Raw;24;24-34;24-39;O;113.7;125;;;;;;200;205;-210;;205;;;;;;205;4;119.95;119.48;114.32;88.54;;Russia;;Vityaz;;2016-05-27;Russia;MOW;Moscow;World Cup
Alexander Panaskin;M;B;Raw;24;24-34;24-39;O;107.25;110;;;;;;200;-210;-210;;200;;;;;;200;3;119.61;118.65;113.33;88.68;;Russia;;Vityaz;;2016-04-02;Russia;MOW;Moscow;Russian Cup
Alexander Panaskin;M;B;Raw;23;20-23;19-23;J;98;100;;;;;;190;200;-205;;200;;;;;;200;3;124.20;122.73;117.27;92.51;;Russia;;Vityaz;;2014-12-26;Russia;MOW;Moscow;Vladimir Kravtsov's European Championships
Alexander Panaskin;M;B;Raw;22;20-23;19-23;J;98.9;100;;;;;;180;-190;200;;200;;;;;;200;1;123.70;122.26;116.80;92.11;;Russia;;Vityaz;;2013-12-20;Russia;MOW;Moscow;Cup of Russia
Alexander Panaskin;M;B;Raw;21;20-23;19-23;Juniors 20-23;94.8;100;;;;;;165;175;-187.5;;175;;;;;;175;1;110.34;108.96;104.21;82.25;Yes;Russia;;WPA-RUS;WPA;2013-05-18;Russia;MOW;Moscow;Russian BP & DL Championships
Alexander Panaskin;M;B;Multi-ply;18;18-19;19-23;T 18-19;96.8;100;;;;;;190;210;222.5;;222.5;;;;;;222.5;1;138.94;137.26;131.19;71.96;;Russia;;WPC;WPC;2010-03-16;Russia;KRS;Kursk;Eastern European Championships
Alexander Panaskin;M;SBD;Raw;18;18-19;14-18;T 18-19;89.6;90;180;200;-207.5;;200;140;150;160;;160;210;230;-261;;230;590;2;382.35;377.51;361.88;78.61;;Russia;;WPC;WPC;2009-10-01;Russia;ROS;Rostov-on-Don;Raw World Championships
Alexander Panaskin;M;B;Raw;18;18-19;14-18;T 18-19;93.5;100;;;;;;140;155;165;-171;165;;;;;;165;1;104.71;103.39;98.93;78.08;;Russia;;WPC;WPC;2009-10-01;Russia;ROS;Rostov-on-Don;Raw World Championships
Alexander Panaskin;M;B;Multi-ply;18;18-19;14-18;M_TEM_3_WPC;89.8;90;;;;;;170;190;-207.5;;190;;;;;;190;1;122.99;121.43;116.39;64.18;;Russia;;WPC;WPC;2009-08-04;Russia;;Kursk;Eurasian Powerlifting and Bench Press Championships
Alexander Panaskin;M;SBD;Multi-ply;18;18-19;14-18;M_TEM_3_WPC;88.9;90;260;290;-320;;290;170;190;-210;;190;240;260;270;;270;750;1;487.99;481.84;462.04;83.31;;Russia;;WPC;WPC;2009-08-04;Russia;;Kursk;Eurasian Powerlifting and Bench Press Championships
