Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexander Punchello;M;SBD;Wraps;24;24-34;24-39;Open;117.5;125;260;272.5;287.5;;287.5;-175;185;192.5;;192.5;-255;272.5;;;272.5;752.5;1;435.25;434.82;416.51;88.29;;USA;NJ;USPA;IPL;2022-06-18;USA;NJ;Westville;Garden State Summer Smash
Alexander Punchello;M;SBD;Multi-ply;23;20-23;24-39;Pro Juniors 20-23;117.41;125;;;;410.5;394.63;;;;365.14;342.46;;;;;292.5;1029.59;1;595.68;595.05;569.98;100.36;;USA;;IPA;;2022-02-26;USA;PA;York;State Championships
Alexander Punchello;M;BD;Multi-ply;23;20-23;19-23;Pro Juniors 20-23;121.93;125;;;;;;;;;;272.16;;;;;276.69;548.85;1;313.56;314.41;301.26;;;USA;;IPA;;2021-06-26;USA;PA;Harrisburg;Strength Spectacular
Alexander Punchello;M;B;Multi-ply;21;20-23;19-23;Pro Open;108.14;110;;;;;;;;;;226.8;;;;;;226.8;1;135.20;134.19;128.19;69.50;;USA;;RPS;;2020-03-03;USA;PA;Bristol;11th Bristol Big Bench
Alexander Punchello;M;SBD;Multi-ply;20;20-23;19-23;Amateur Juniors 20-23;90.54;100;;;;;274.42;;;;;170.1;;;;;229.06;673.58;1;434.23;428.71;410.77;74.09;Yes;USA;;RPS;;2018-12-01;USA;NJ;Westville;Christmas Carnage
Alexander Punchello;M;SBD;Single-ply;20;20-23;19-23;Juniors 20-23;88.2;90;;;;;242.5;;;;;160;;;;;227.5;630;1;411.58;406.43;389.87;70.29;;USA;NJ;USPA;IPL;2018-03-17;USA;MD;Frederick;4th Annual Mid Atlantic Classic
Alexander Punchello;M;SBD;Single-ply;19;18-19;19-23;M-T3;90.2;93;-220;220;-230;;220;120;125;-135;;125;-215;215;217.5;;217.5;562.5;1;363.31;358.69;343.74;62.00;Yes;USA;NJ;USAPL;IPF;2017-09-24;USA;NJ;;New Jersey Heavy Metal Classic
Alexander Punchello;M;SBD;Raw;19;18-19;19-23;Amateur Teen 18-19;98.88;100;;;;;174.63;;;;;117.93;;;;;206.38;498.95;1;308.63;305.04;291.41;63.37;Yes;USA;;RPS;;2017-05-20;USA;NJ;Newark;Jersey Rumble
Alexander Punchello;M;SBD;Raw;19;18-19;19-23;MR-O;99.5;105;-175;175;185;;185;105;112.5;-115;;112.5;180;185;195;;195;492.5;7;303.80;300.33;286.88;62.37;Yes;USA;NJ;USAPL;IPF;2017-04-08;USA;PA;;Pennsylvania State Championship
Alexander Punchello;M;SBD;Raw;19;18-19;19-23;MR-T3;99.5;105;-175;175;185;;185;105;112.5;-115;;112.5;180;185;195;;195;492.5;1;303.80;300.33;286.88;62.37;Yes;USA;NJ;USAPL;IPF;2017-04-08;USA;PA;;Pennsylvania State Championship
