Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexandra Kapka;F;SBD;Raw;39;35-39;24-39;F-O;;;;;;;;;;;;;;;;;;;NS;;;;;Yes;N.Ireland;;IrishPF;IPF;2022-06-11;N.Ireland;;Belfast;June Open
Alexandra Kapka;F;SBD;Raw;36;35-39;24-39;FR-O;71.3;72;;;;;122.5;;;;;75;;;;;147.5;345;15;345.33;338.94;298.64;70.22;Yes;N.Ireland;;BP;IPF;2020-03-08;England;;York;Women's British Classic
Alexandra Kapka;F;SBD;Raw;35;35-39;24-39;F-C-Open;71.8;72;112.5;120;125;;125;70;75;77.5;;77.5;140;150;-155;;150;352.5;1;351.48;344.69;303.64;71.48;Yes;N.Ireland;;NIPF;IPF;2019-04-06;UK;;Belfast;Spring Classic Championships
Alexandra Kapka;F;SBD;Raw;35;35-39;24-39;F-C-Open;74.6;84;105;112.5;120;;120;67.5;72.5;75;;75;130;142.5;152.5;;152.5;347.5;4;339.42;331.46;291.63;69.12;Yes;N.Ireland;;BP;IPF;2018-11-17;Scotland;;Edinburgh;Home Nations Powerlifting Championships
Alexandra Kapka;F;SBD;Raw;35;35-39;24-39;F-C-Open;75.3;84;115;122.5;127.5;;127.5;67.5;72.5;-75;;72.5;137.5;150;157.5;;157.5;357.5;1;347.46;339.01;298.16;70.79;Yes;N.Ireland;;NIPF;IPF;2018-05-26;N.Ireland;;;Northern Ireland Open
Alexandra Kapka;F;SBD;Raw;34;24-34;24-39;F-C-Open;71.7;72;107.5;115;120;;120;62.5;67.5;70;;70;135;145;155;;155;345;2;344.27;337.67;297.47;70.01;Yes;N.Ireland;;NIPF;IPF;2017-12-02;N.Ireland;;Newtownabbey;All Ireland Championships
Alexandra Kapka;F;SBD;Raw;34;24-34;24-39;Open;70.5;72;112.5;117.5;122.5;;122.5;65;67.5;-70;;67.5;140;-152.5;152.5;;152.5;342.5;3;344.98;339.07;298.84;70.13;Yes;N.Ireland;;CommonwealthPF;IPF;2017-09-11;South Africa;;Potchefstroom;Commonwealth Championships
Alexandra Kapka;F;SBD;Raw;34;24-34;24-39;F-O;70.6;72;;;;;120;;;;;67.5;;;;;150;337.5;8;339.68;333.80;294.18;69.05;Yes;N.Ireland;;IrishPF;IPF;2017-07-29;Ireland;;;National Championships
Alexandra Kapka;F;SBD;Raw;33;24-34;24-39;F-SR;71.4;72;;;;;115;;;;;60;;;;;150;325;4;325.06;318.99;281.05;66.10;Yes;N.Ireland;;IrishPF;IPF;2016-11-26;Ireland;;;IPF-NIPF All Irelands
Alexandra Kapka;F;SBD;Raw;33;24-34;24-39;F-C-Open;70.7;72;100;105;110;;110;57.5;60;62.5;;62.5;135;145;150;;150;322.5;15;324.32;318.66;280.82;65.93;Yes;N.Ireland;;BP;IPF;2016-09-17;UK;;Horncastle;Women's British Classic Championship
Alexandra Kapka;F;SBD;Raw;33;24-34;24-39;F-C-Open;70.7;72;95;-102.5;102.5;;102.5;60;-65;-65;;60;125;132.5;140;;140;302.5;3;304.21;298.90;263.41;61.84;Yes;N.Ireland;;NIPF;IPF;2016-04-16;N.Ireland;;;Women's Raw Power
