Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexandra Tichy;F;B;Single-ply;30.5;24-34;24-39;Open;94.7;84+;;;;;;-155;-155;-160;;;;;;;;;DQ;;;;;Yes;Austria;;OEVK;IPF;2021-07-03;Austria;;Amstetten;Ergebnisse Bankdrücken
Alexandra Tichy;F;SBD;Single-ply;28.5;24-34;24-39;Open;92.8;84+;180;-190;195;;195;90;-140;140;;140;150;165;175;;175;510;1;448.67;435.36;377.26;77.33;Yes;Austria;;OEVK;IPF;2019-10-26;Austria;;Kennelbach;Staatsmeisterschaft
Alexandra Tichy;F;SBD;Raw;28.5;24-34;24-39;Open;85.5;84+;120;127.5;-132.5;;127.5;90;92.5;;;92.5;140;147.5;-152.5;;147.5;367.5;1;335.35;324.89;283.66;68.93;Yes;Austria;;OEVK;IPF;2019-03-31;Austria;;Wiener Neustadt;Nö Kraftdreikampf Classic
Alexandra Tichy;F;B;Raw;28.5;24-34;24-39;Open;83.6;84;;;;;;90;-95;-95;;90;;;;;;90;1;83.00;80.45;70.36;67.23;Yes;Austria;;OEVK;IPF;2019-03-30;Austria;;Bärnbach;Staatsmeisterschaft Bankdrücken Classic
Alexandra Tichy;F;SBD;Single-ply;27.5;24-34;24-39;Open;84;84;165;-175;-175;;165;90;-127.5;127.5;;127.5;160;170;-180;;170;462.5;1;425.57;412.43;360.56;72.74;Yes;Austria;;OEVK;IPF;2018-11-24;Austria;;Weiz;Staatsmeisterschaft Kraftdreikampf
Alexandra Tichy;F;B;Single-ply;27.5;24-34;24-39;Open;82.3;84;;;;;;-130;-130;-130;;;;;;;;;DQ;;;;;Yes;Austria;;OEVK;IPF;2018-05-26;Austria;;Reutte;Staatsmeisterschaft Bankdrücken
Alexandra Tichy;F;B;Raw;27.5;24-34;24-39;Open;82.8;84;;;;;;90;97.5;-100;;97.5;;;;;;97.5;1;90.33;87.58;76.64;73.01;Yes;Austria;;OEVK;IPF;2018-03-03;Austria;;Weiz;Staatsmeisterschaft Bankdrücken Classic
Alexandra Tichy;F;SBD;Single-ply;26.5;24-34;24-39;Open;80.41;84;165;175;-182.5;;175;120;-127.5;-127.5;;120;170;-180;-180;;170;465;11;437.04;424.28;371.97;74.44;Yes;Austria;;IPF;IPF;2017-11-13;Czechia;;Pilsen;World Powerlifting Championships
Alexandra Tichy;F;B;Single-ply;26.5;24-34;24-39;Open;79.9;84;;;;;;115;122.5;127.5;;127.5;;;;;;127.5;1;120.21;116.74;102.39;67.94;Yes;Austria;;OEVK;IPF;2017-10-22;Austria;;Salzburg;Staatsmeisterschaft Bankdrücken
Alexandra Tichy;F;B;Raw;26.5;24-34;24-39;Open;83.3;84;;;;;;85;-92.5;-92.5;;85;;;;;;85;1;78.53;76.12;66.59;63.55;Yes;Austria;;OEVK;IPF;2017-05-06;Austria;;Lochen am See;Staatsmeisterschaft Bankdrücken Classic
Alexandra Tichy;F;SBD;Single-ply;26.5;24-34;24-39;Open;83.5;84;-170;-170;-170;;;120;130;-135;;130;160;170;-180;;170;;DQ;;;;;Yes;Austria;;OEVK;IPF;2017-04-01;Austria;;Obersdorf;Staatsmeisterschaft Kraftdreikampf
Alexandra Tichy;F;SBD;Single-ply;25.5;24-34;24-39;Open;83.23;84;167.5;-180;180;;180;125;-130;-130;;125;170;-177.5;-177.5;;170;475;13;439.00;425.55;372.27;74.98;Yes;Austria;;IPF;IPF;2016-11-14;USA;;Orlando;World Open Championships
Alexandra Tichy;F;SBD;Single-ply;25.5;24-34;24-39;Open;82.38;84;170;180;-187.5;;180;127.5;135;-137.5;;135;167.5;177.5;-185;;177.5;492.5;7;457.43;443.57;388.31;78.06;Yes;Austria;;EPF;IPF;2016-05-11;Czechia;;Pilsen;European Powerlifting Championships
Alexandra Tichy;F;SBD;Single-ply;25.5;24-34;24-39;Open;83.3;84;165;180;-192.5;;180;120;-130;135;;135;165;177.5;-185;;177.5;492.5;1;454.99;441.04;385.80;77.71;Yes;Austria;;OEVK;IPF;2016-04-30;Austria;;Obersdorf;Staatsmeisterschaft Kraftdreikampf EQ
Alexandra Tichy;F;B;Single-ply;25.5;24-34;24-39;Open;83.07;84;;;;;;120;127.5;135;;135;;;;;;135;3;124.88;121.06;105.92;70.79;Yes;Austria;;IPF;IPF;2016-04-19;Denmark;;Rodby;World Bench Press Championships
Alexandra Tichy;F;SBD;Single-ply;24.5;24-34;24-39;Open;82.45;84;170;182.5;190;;190;122.5;-130;;;122.5;165;177.5;-187.5;;177.5;490;9;454.92;441.12;386.14;77.64;Yes;Austria;;IPF;IPF;2015-11-09;Luxembourg;;Hamm;World Powerlifting Championships
