Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexandrea Rán Guðnýjardóttir;F;B;Single-ply;22.5;20-23;19-23;Juniors;62.05;63;;;;;;115;-122.5;-122.5;;115;;;;;;115;2;124.84;124.94;110.34;70.07;Yes;Iceland;;EPF;IPF;2022-08-02;Hungary;;Budapest;European Bench Press Championships
Alexandrea Rán Guðnýjardóttir;F;B;Raw;22.5;20-23;19-23;Juniors;62.05;63;;;;;;100;110;-115;;110;;;;;;110;1;119.41;119.51;105.55;92.59;Yes;Iceland;;EPF;IPF;2022-08-02;Hungary;;Budapest;European Bench Press Championships
Alexandrea Rán Guðnýjardóttir;F;B;Single-ply;22.5;20-23;19-23;Juniors;62.05;63;;;;;;112.5;117.5;125;;125;;;;;;125;2;135.70;135.80;119.94;76.16;Yes;Iceland;;IPF;IPF;2022-05-21;Kazakhstan;;Almaty;World Bench Press Championships
Alexandrea Rán Guðnýjardóttir;F;B;Raw;22.5;20-23;19-23;Juniors;61.6;63;;;;;;95;100;102.5;;102.5;;;;;;102.5;1;111.77;111.98;98.91;86.65;Yes;Iceland;;IPF;IPF;2022-05-21;Kazakhstan;;Almaty;World Bench Press Championships
Alexandrea Rán Guðnýjardóttir;F;B;Single-ply;22.5;20-23;19-23;Open;62.55;63;;;;;;-122.5;-122.5;122.5;;122.5;;;;;;122.5;1;132.33;132.28;116.81;74.26;Yes;Iceland;;KRAFT;IPF;2022-04-24;Iceland;;Kópavogur;ÍM í bekkpressu
Alexandrea Rán Guðnýjardóttir;F;SBD;Single-ply;22.5;20-23;19-23;Open;62.75;63;50;-55;-55;;50;-115;115;-125;;115;65;;;;65;230;1;247.97;247.76;218.78;41.62;Yes;Iceland;;KRAFT;IPF;2022-03-11;Iceland;;Mosfellbær;ÍM í kraftlyftingum allir aldurshópar
Alexandrea Rán Guðnýjardóttir;F;B;Raw;21.5;20-23;19-23;Juniors;62.86;63;;;;;;97.5;102.5;110;;110;;;;;;110;1;118.47;118.33;104.49;91.90;Yes;Iceland;;NordicPF;IPF;2021-11-07;Finland;;Pornainen;Nordic Juniors & Sub-Juniors Championships
Alexandrea Rán Guðnýjardóttir;F;B;Raw;21.5;20-23;19-23;Juniors;62.7;63;;;;;;-97.5;97.5;-102.5;;97.5;;;;;;97.5;2;105.17;105.09;92.80;81.58;Yes;Iceland;;IPF;IPF;2021-10-22;Lithuania;;Vilnius;World Bench Press Championships
Alexandrea Rán Guðnýjardóttir;F;SBD;Raw;21.5;20-23;19-23;Juniors;62.15;63;85;92.5;-97.5;;92.5;92.5;-100.5;-100.5;;92.5;95;-105;-105;;95;280;2;303.66;303.83;268.33;61.80;Yes;Iceland;;KRAFT;IPF;2021-06-06;Iceland;;Mosfellbær;ÍM ungmenna og öldunga í klassískum kraftlyftingum
Alexandrea Rán Guðnýjardóttir;F;SBD;Raw;20.5;20-23;19-23;Juniors;56.45;57;40;;;;40;85;90;-95;;90;;60;;;60;190;2;219.07;222.16;196.47;44.90;Yes;Iceland;;KRAFT;IPF;2020-09-12;Iceland;;Njarðvíkum;ÍM í klassískum kraftlyftingum
Alexandrea Rán Guðnýjardóttir;F;B;Raw;19.5;20-23;19-23;Juniors;56.35;57;;;;;;77.5;-82.5;-82.5;;77.5;;;;;;77.5;2;89.46;90.74;80.26;69.50;Yes;Iceland;;NordicPF;IPF;2019-09-12;Denmark;;Videbæk;Nordic Championships
Alexandrea Rán Guðnýjardóttir;F;B;Raw;19.5;20-23;19-23;Juniors;56.36;57;;;;;;72.5;-77.5;77.5;;77.5;;;;;;77.5;4;89.45;90.73;80.24;69.49;Yes;Iceland;;EPF;IPF;2019-08-07;Luxembourg;;Hamm;European Classic Bench Press Championships
Alexandrea Rán Guðnýjardóttir;F;B;Raw;19.5;20-23;19-23;Juniors;55.95;57;;;;;;67.5;72.5;75;;75;;;;;;75;3;86.99;88.31;78.11;67.62;Yes;Iceland;;IPF;IPF;2019-05-18;Japan;;Tokyo;World Bench Press Championships
Alexandrea Rán Guðnýjardóttir;F;B;Raw;19.5;20-23;19-23;Open;56.2;57;;;;;;-70;-70;-70;;;;;;;;;DQ;;;;;Yes;Iceland;;KRAFT;IPF;2019-03-17;Iceland;;Njarðvík;Bikarmót í klassískri bekkpressu
Alexandrea Rán Guðnýjardóttir;F;SBD;Raw;19.5;20-23;19-23;Open;55.7;57;77.5;82.5;85;;85;65;70;-75;;70;90;97.5;102.5;;102.5;257.5;3;299.54;304.25;269.16;61.47;Yes;Iceland;;KRAFT;IPF;2019-02-17;Iceland;;Akureyri;Bikarmót í klassískum kraftlyftingum
Alexandrea Rán Guðnýjardóttir;F;SBD;Raw;18.5;18-19;19-23;Open;56.2;57;75;82.5;-90;;82.5;62.5;-70;-70;;62.5;90;100;-107.5;;100;245;1;283.32;287.46;254.25;58.09;Yes;Iceland;;KRAFT;IPF;2018-10-13;Iceland;;Akranes;Bikarmót í klassískum kraftlyftingum
