Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexandre Barsanti;M;SBD;Raw;20;20-23;19-23;Juniors;86.9;93;205;-215;220;;220;170;-175;-175;;170;215;230;-240;;230;620;10;408.21;403.18;387.02;83.87;Yes;;;FFForce;IPF;2022-05-14;France;;Saint-Germain-en-Laye;Championnats de France Jeunes de Force Athlétique
Alexandre Barsanti;M;B;Raw;20;20-23;19-23;Juniors;87.64;93;;;;;;165;172.5;-177.5;;172.5;;;;;;172.5;2;113.07;111.66;107.14;84.29;Yes;;;FFForce;IPF;2022-02-12;France;;Beuzeville;Championnats de France de Développé Couché
Alexandre Barsanti;M;SBD;Raw;19.5;20-23;19-23;Juniors;86.9;93;215;222.5;-227.5;;222.5;157.5;165;-170;;165;230;240;-250;;240;627.5;1;413.15;408.06;391.70;84.88;Yes;;;FFForce;IPF;2021-11-28;France;;Vitrolles;Challenge Romuald Buisson
Alexandre Barsanti;M;SBD;Raw;19;18-19;19-23;Juniors;81.95;83;-205;210;-220;;210;155;-160;-160;;155;220;230;-240;;230;595;9;404.59;400.20;385.19;82.90;Yes;;;FFForce;IPF;2021-07-16;France;;Port-la-Nouvelle;Championnats de France Jeunes et Élite de Force Athlétique
Alexandre Barsanti;M;SBD;Raw;19;18-19;19-23;Juniors;81.5;83;200;212.5;220;;220;145;152.5;157.5;;157.5;217.5;222.5;-240;;222.5;600;1;409.28;404.92;389.83;83.83;Yes;;;FFForce;IPF;2021-06-20;France;;Nice;Compétition Qualificative France FA PL DC BP PACA
Alexandre Barsanti;M;SBD;Raw;18;18-19;14-18;Juniors;83;83;182.5;190;-195;;190;120;-127.5;127.5;;127.5;190;-197.5;-197.5;;190;507.5;1;342.61;338.76;325.86;70.25;Yes;;;FFForce;IPF;2019-11-30;France;;Mondragon;Régional FA PL PACA
Alexandre Barsanti;M;SBD;Raw;17;16-17;14-18;Juniors;82.7;83;175;182.5;-190;;182.5;115;-125;-127.5;;115;170;180;190;;190;487.5;1;329.78;326.11;313.74;67.61;Yes;;;FFForce;IPF;2019-10-12;France;;Sorgues;Premier Pas FA PL PACA
Alexandre Barsanti;M;SBD;Raw;17;16-17;14-18;Sub-Juniors;81.15;83;165;170;175;;175;-120;-120;-120;;;150;160;170;;170;;DQ;;;;;Yes;;;FFForce;IPF;2019-05-18;France;;Le Lavandou;Deuxième Pas FA PL DC BP PACA
Alexandre Barsanti;M;B;Raw;17;16-17;14-18;Sub-Juniors;80;83;;;;;;100;-110;-110;;100;;;;;;100;1;68.95;68.27;65.78;51.19;Yes;;;FFForce;IPF;2019-01-13;Monaco;;Monaco;Challenge d'Hiver FA PL DC BP PACA
Alexandre Barsanti;M;B;Raw;17;16-17;14-18;Sub-Juniors;79.45;83;;;;;;-100;100;105;;105;;;;;;105;G;72.70;72.00;69.39;53.94;Yes;;;FFForce;IPF;2018-12-16;France;;La Garde;Régional DC BP PACA
