Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexandre Duponchelle;M;SBD;Raw;32;24-34;24-39;Seniors;91;93;150;160;-170;;160;140;145;-150;;145;160;180;200;;200;505;3;324.74;320.60;307.12;66.77;Yes;;;FFForce;IPF;2020-10-10;France;;Moissac;Premier Pas FA PL DC BP Occitanie
Alexandre Duponchelle;M;B;Raw;30;24-34;24-39;Seniors;98.7;105;;;;;;142.5;152.5;-160;;152.5;;;;;;152.5;1;94.40;93.30;89.14;70.30;Yes;;;FFForce;IPF;2018-11-18;France;;Port-la-Nouvelle;Départemental DC BP Occitanie
Alexandre Duponchelle;M;B;Raw;29;24-34;24-39;Open;93.85;;;;;;;140;145;150;;150;;;;;;150;2;95.02;93.83;89.77;70.85;Yes;;;FFForce;IPF;2018-02-04;France;;Colomiers;Eliminatoires Jean Villenave Occitanie
Alexandre Duponchelle;M;SBD;Raw;29;24-34;24-39;Seniors;91.6;93;170;-180;-180;;170;140;-150;-150;;140;210;220;230;;230;540;3;346.12;341.71;327.25;71.17;Yes;;;FFForce;IPF;2018-01-13;France;;Port-la-Nouvelle;Challenge d'Hiver FA PL DC BP Occitanie
Alexandre Duponchelle;M;SBD;Raw;29;24-34;24-39;Seniors;91.4;93;165;175;180;;180;135;145;-150;;145;215;-230;;;215;540;2;346.49;342.08;327.63;71.25;Yes;;;FFForce;IPF;2017-12-02;France;;Leucate;Régional FA PL DC BP Occitanie
Alexandre Duponchelle;M;B;Raw;29;24-34;24-39;Seniors;91.4;93;;;;;;140;147.5;;;147.5;;;;;;147.5;2;94.64;93.44;89.49;70.58;Yes;;;FFForce;IPF;2017-12-02;France;;Leucate;Régional FA PL DC BP Occitanie
Alexandre Duponchelle;M;B;Raw;29;24-34;24-39;Seniors;93.5;105;;;;;;132.5;140;145;;145;;;;;;145;1;92.02;90.86;86.94;68.61;Yes;;;FFForce;IPF;2017-11-12;France;;Moissac;Départemental DC BP Occitanie
Alexandre Duponchelle;M;SBD;Raw;29;24-34;24-39;Seniors;91.8;93;150;160;170;;170;130;140;-142.5;;140;200;215;225;;225;535;1;342.55;338.19;323.85;70.44;Yes;;;FFForce;IPF;2017-10-07;France;;Villeneuve-la-Comptal;Premier Pas FA PL DC BP Occitanie
Alexandre Duponchelle;M;B;Raw;29;24-34;24-39;Seniors;91.8;93;;;;;;132.5;-137.5;140;;140;;;;;;140;1;89.64;88.50;84.75;66.85;Yes;;;FFForce;IPF;2017-10-07;France;;Villeneuve-la-Comptal;Premier Pas FA PL DC BP Occitanie
Alexandre Duponchelle;M;B;Raw;26;24-34;24-39;Seniors;91.6;93;;;;;;130;135;-145;;135;;;;;;135;1;86.53;85.43;81.81;64.53;Yes;;;FFHMFAC;IPF;2014-12-14;France;;Moissac;Championnat Régional FA PL DC BP Midi-Pyrénées
Alexandre Duponchelle;M;SBD;Raw;26;24-34;24-39;Seniors;91.6;93;155;-165;-165;;155;130;135;-140;;135;225;230;-240;;230;520;2;333.30;329.06;315.13;68.53;Yes;;;FFHMFAC;IPF;2014-12-14;France;;Moissac;Championnat Régional FA PL DC BP Midi-Pyrénées
