Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexandre Saingery;M;SBD;Raw;33;24-34;24-39;Seniors;90;93;215;230;-240;;230;140;145;150;;150;235;255;-260;;255;635;1;410.59;405.38;388.52;84.42;Yes;France;;FFForce;IPF;2022-06-04;France;;Woippy;Championnat Grand Est FA/PL
Alexandre Saingery;M;SBD;Raw;33;24-34;24-39;Seniors;92.95;93;200;212.5;220;;220;135;140;-145;;140;230;250;-260;;250;610;1;388.21;383.29;366.86;79.82;Yes;France;;FFForce;IPF;2022-01-16;France;;Bruley;Championnat Régional FA PL Grand Est
Alexandre Saingery;M;B;Raw;33;24-34;24-39;Seniors;92.95;93;;;;;;135;140;-145;;140;;;;;;140;3;89.10;87.97;84.20;66.44;Yes;France;;FFForce;IPF;2021-12-11;France;;Verdun;Championnat Régional DC BP Grand Est
Alexandre Saingery;M;SBD;Wraps;30;24-34;24-39;O;99.5;100;-240;240;-250;;240;140;145;-147.5;;145;240;250;-262.5;;250;635;5;391.70;387.23;369.88;80.41;;France;;GPC;GPC;2019-05-20;Hungary;;Tiszakécske;European Championships
Alexandre Saingery;M;SBD;Wraps;29;24-34;24-39;O;96.2;100;220;-240;-240;;220;127.5;135;-140;;135;235;250;255;;255;610;4;382.00;377.32;360.71;78.50;;France;;GPC;GPC;2018-05-26;France;;Nancy;European Championships
Alexandre Saingery;M;SBD;Wraps;29;24-34;24-39;O;89.3;90;-215;-215;215;;215;125;130;-132.5;;130;230;245;-252.5;;245;590;2;383.01;378.16;362.56;78.74;;France;;GPC;GPC;2017-10-06;Bosnia and Herzegovina;;Sarajevo;World Cup
Alexandre Saingery;M;D;Raw;29;24-34;24-39;O;89.8;90;;;;;;;;;;;220;-240;-240;;220;220;1;142.41;140.61;134.77;;;France;;GPC;GPC;2017-10-06;Bosnia and Herzegovina;;Sarajevo;World Cup
Alexandre Saingery;M;SBD;Wraps;28.5;24-34;24-39;O;88.3;90;-215;-215;-215;;;;;;;;;;;;;;DQ;;;;;;France;;GPC;GPC;2017-06-25;Poland;;Biala Podlaska;European Championships
Alexandre Saingery;M;D;Raw;28.5;24-34;24-39;O;89.45;90;;;;;;;;;;;225;240;-247.5;;240;240;2;155.67;153.70;147.34;;;France;;GPC;GPC;2017-06-25;Poland;;Biala Podlaska;European Championships
Alexandre Saingery;M;SBD;Raw;28;24-34;24-39;O;87.4;90;-190;190;-200;;190;120;-125;125;;125;215;227.5;-240;;227.5;542.5;1;356.10;351.69;337.50;73.18;;France;;GPC;GPC;2016-10-21;Slovakia;;Zalesie;Carpathian Cup
Alexandre Saingery;M;D;Raw;27.5;24-34;24-39;O;82.5;82.5;;;;;;;;;;;215;-230;230;;230;230;4;155.80;154.08;148.25;;;France;;GPC;GPC;2016-09-18;Serbia;;Knjaževac;World Championships
Alexandre Saingery;M;D;Raw;27;24-34;24-39;O;80.9;82.5;;;;;;;;;;;215;225;-232.5;;225;225;1;154.14;152.54;146.90;;;France;;GPC;GPC;2016-06-06;Finland;;Rovaniemi;European Championships
Alexandre Saingery;M;SBD;Wraps;27;24-34;24-39;O;80.8;82.5;180;-190;-190;;180;115;-125;125;;125;210;220;230;;230;535;3;366.76;362.98;349.58;75.07;;France;;GPC;GPC;2015-10-23;Czechia;;Trutnov;Carpathian World Cup
Alexandre Saingery;M;SBD;Wraps;26;24-34;24-39;O;82.25;82.5;170;180;-190;;180;110;120;125;;125;200;220;-225;;220;525;11;356.24;352.34;339.07;73.01;;France;;GPC;GPC;2015-06-15;UK;;Eastbourne;European Championships
