Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexandr Vaskov;M;SBD;Raw;32.5;24-34;24-39;Open;65;66;;;;;190;;;;;140;;;;;210;540;4;427.96;429.41;417.57;84.86;Yes;Kazakhstan;;AsianPF;IPF;2019-12-02;Kazakhstan;;Almaty;Asian Classic Powerlifting Championships
Alexandr Vaskov;M;SBD;Single-ply;30.5;24-34;24-39;Open;66;66;;;;;230;;;;;190;;;;;230;650;1;509.29;510.38;495.94;87.06;Yes;Kazakhstan;;KPF;IPF;2017-04-02;Kazakhstan;;Tekeli;Kazakhstan Powerlifting Cup
Alexandr Vaskov;M;SBD;Single-ply;29.5;24-34;24-39;Open;70;74;;;;;220;;;;;180;;;;;247.5;647.5;2;486.37;485.23;470.24;83.25;Yes;Kazakhstan;;KPF;IPF;2016-10-03;Kazakhstan;;Temirtau;Kazakhstan Powerlifting Championships
Alexandr Vaskov;M;SBD;Raw;29.5;24-34;24-39;Open;70.4;74;;;;;200;;;;;155;;;;;235;590;2;441.44;440.22;426.52;88.90;Yes;Kazakhstan;;KPF;IPF;2016-10-03;Kazakhstan;;Temirtau;Kazakhstan Powerlifting Championships
Alexandr Vaskov;M;SBD;Raw;28.5;24-34;24-39;Open;65.7;66;;;;;190;;;;;152.5;;;;;205;547.5;2;430.44;431.51;419.39;85.55;Yes;Kazakhstan;;KPF;IPF;2015-10-05;Kazakhstan;;Baykonur;Kazakhstan Powerlifting Championships
Alexandr Vaskov;M;SBD;Raw;28.5;24-34;24-39;Open;65.24;66;180;192.5;195;;195;145;152.5;-160;;152.5;200;-212.5;-212.5;;200;547.5;7;432.70;434.03;421.99;85.87;Yes;Kazakhstan;;IPF;IPF;2015-06-05;Finland;;Salo;World Classic Powerlifting Championships
Alexandr Vaskov;M;B;Raw;27.5;24-34;24-39;Open;64.4;66;;;;;;140;150;-160;;150;;;;;;150;2;119.72;120.21;116.95;86.23;Yes;Kazakhstan;;OceaniaPF;IPF;2014-12-08;Australia;VIC;Melbourne;Asia & Oceania Championships
Alexandr Vaskov;M;SBD;Raw;27.5;24-34;24-39;Open;64.35;66;180;187.5;190;;190;140;145;147.5;;147.5;210;-215;-215;;210;547.5;5;437.22;439.07;427.17;86.50;Yes;Kazakhstan;;OceaniaPF;IPF;2014-12-08;Australia;VIC;Melbourne;Asia & Oceania Championships
Alexandr Vaskov;M;B;Single-ply;25.5;24-34;24-39;Open;65.85;66;;;;;;-180;185;-192.5;;185;;;;;;185;2;145.20;145.53;141.43;80.46;Yes;Kazakhstan;;KPF;IPF;2012-07-01;Kazakhstan;;Aktobe;Kazakhstan Bench Press Championships
Alexandr Vaskov;M;B;Single-ply;25.5;24-34;24-39;Open;65.8;66;;;;;;-192.5;-192.5;-192.5;;;;;;;;;DQ;;;;;Yes;Kazakhstan;;KPF;IPF;2012-03-26;Kazakhstan;;Taldykorgan;Republic Kazakhstan Powerlifting Cup
Alexandr Vaskov;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;66.35;67.5;230;240;250;;250;160;165;-170;;165;210;-220;220;;220;635;1;495.60;496.44;482.28;84.74;Yes;Kazakhstan;;AsianPF;IPF;2008-05-04;Uzbekistan;;Tashkent;Asian Powerlifting Championships
Alexandr Vaskov;M;SBD;Single-ply;20.5;20-23;19-23;Juniors;66.05;67.5;200;220;230;;230;-162.5;-162.5;162.5;;162.5;180;200;-217.5;;200;592.5;3;463.98;464.94;451.77;79.32;Yes;Kazakhstan;;AsianPF;IPF;2007-05-02;Taiwan;;Kaohsiung;Asian Powerlifting Championships
