Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexandr Zagrevskiy;M;SBD;Single-ply;20.5;20-23;19-23;Juniors;122.68;120+;;;;;260;;;;;155;;;;;240;655;3;373.45;374.72;358.98;62.78;Yes;Kazakhstan;;AsianPF;IPF;2019-05-21;Hong Kong;;;Asian Powerlifting Championships
Alexandr Zagrevskiy;M;SBD;Raw;19.5;20-23;19-23;Juniors;124.6;120+;;;;;240;;;;;140;;;;;220;600;1;340.40;342.13;327.50;68.62;Yes;Kazakhstan;;AsianPF;IPF;2018-12-04;Mongolia;;Ulaanbaatar;Asian Classic Powerlifting Championships
Alexandr Zagrevskiy;M;SBD;Raw;18.5;18-19;19-23;Juniors;121.1;120+;230;245;255.5;;255.5;130;145;-155;;145;230;245;-255.5;;245;645.5;1;369.60;370.34;354.88;74.74;Yes;Kazakhstan;;AsianPF;IPF;2017-12-04;India;;Kerala;Asian Classic Powerlifting Championships
Alexandr Zagrevskiy;M;SBD;Raw;18.5;18-19;19-23;Juniors;115.6;120;;;;;255;;;;;147.5;;;;;240;642.5;1;373.73;372.81;356.93;75.93;Yes;Kazakhstan;;KPF;IPF;2017-10-02;Kazakhstan;;Kostanay;Kazakhstan Classic Powerlifting Championship
Alexandr Zagrevskiy;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;106.6;120;;;;;290;;;;;165;;;;;250;705;1;422.63;419.09;400.26;71.57;Yes;Kazakhstan;;KPF;IPF;2017-04-02;Kazakhstan;;Tekeli;Kazakhstan Powerlifting Cup
Alexandr Zagrevskiy;M;SBD;Single-ply;17.5;18-19;14-18;Open;105.05;120;;;;;270;;;;;160;;;;;270;700;3;422.09;418.22;399.36;71.53;Yes;Kazakhstan;;KPF;IPF;2016-10-03;Kazakhstan;;Temirtau;Kazakhstan Powerlifting Championships
Alexandr Zagrevskiy;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;115.38;120;260;270;-280;;270;145;147.5;150;;150;-240;240;-250;;240;660;3;384.17;383.16;366.81;78.06;Yes;Kazakhstan;;IPF;IPF;2016-06-19;USA;TX;Killeen;World Classic Powerlifting Championships
Alexandr Zagrevskiy;M;SBD;Raw;17.5;18-19;14-18;Teen;125.25;120+;;;;;270;;;;;155;;;;;260;685;1;387.98;390.19;373.33;78.17;Yes;Kazakhstan;;KPF;IPF;2016-04-02;Kazakhstan;;Almaty;Kazakhstan Classic Powerlifting Cup
Alexandr Zagrevskiy;M;SBD;Single-ply;17.5;18-19;14-18;Teen;125.3;120+;;;;;300;;;;;140;;;;;240;680;1;385.10;387.31;370.56;64.67;Yes;Kazakhstan;;KPF;IPF;2016-03-02;Kazakhstan;;Shymkent;Kazakhstan Powerlifting Cup
Alexandr Zagrevskiy;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;118.6;120;250;266;-272.5;;266;125;135;140;;140;220;240;250;;250;656;2;378.23;378.20;362.35;76.65;Yes;Kazakhstan;;AsianPF;IPF;2015-12-13;Uzbekistan;;Tashkent;Asia-Oceania Raw Championships
Alexandr Zagrevskiy;M;SBD;Single-ply;16.5;16-17;14-18;Sub-Juniors;121.83;120+;200;240;270;;270;130;150;170;;170;-210;210;240;;240;680;2;388.58;389.61;373.32;65.34;Yes;Kazakhstan;;IPF;IPF;2015-08-31;Czechia;;Prague;World Sub-Juniors & Juniors Powerlifting Championships
Alexandr Zagrevskiy;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;117.76;120;230;-232.5;250;;250;130;137.5;142.5;;142.5;220;-230;230;;230;622.5;3;359.78;359.51;344.39;72.96;Yes;Kazakhstan;;IPF;IPF;2015-06-05;Finland;;Salo;World Classic Powerlifting Championships
Alexandr Zagrevskiy;M;SBD;Single-ply;16.5;16-17;14-18;Teen;118;120;;;;;260;;;;;165;;;;;220;645;1;372.53;372.32;356.68;62.74;Yes;Kazakhstan;;KPF;IPF;2015-03-14;Kazakhstan;;;Kazakhstan Powerlifting Cup
Alexandr Zagrevskiy;M;SBD;Single-ply;14.5;13-15;14-18;Teen;103.2;105;;;;;220;;;;;130;;;;;200;550;5;334.05;330.70;315.77;56.67;Yes;Kazakhstan;;KPF;IPF;2013-07-05;Kazakhstan;;Petropavlovsk;Kazakhstan Sub-Juniors & Juniors Powerlifting Championships
Alexandr Zagrevskiy;M;B;Single-ply;14.5;13-15;14-18;Teen;105.6;120;;;;;;-120;120;127.5;;127.5;;;;;;127.5;2;76.72;76.04;72.61;39.49;Yes;Kazakhstan;;KPF;IPF;2013-07-01;Kazakhstan;;Petropavlovsk;Kazakhstan Bench Press Championships
