Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexann Tureman;F;D;Single-ply;17.5;18-19;14-18;Disabled 1 13-19;82.5;82.5;;;;;;;;;;;;;;;92.5;92.5;1;85.85;83.25;72.87;;Yes;USA;WA;WABDL;;2016-03-12;USA;OR;Portland;North American BP & DL
Alexann Tureman;F;B;Single-ply;17.5;18-19;14-18;Disabled 1 13-19;82.5;82.5;;;;;;;;;;40;;;;;;40;1;37.13;36.00;31.51;21.03;Yes;USA;WA;WABDL;;2016-03-12;USA;OR;Portland;North American BP & DL
Alexann Tureman;F;BD;Raw;16.5;16-17;14-18;F_TR_2_AAPF;75;75;;;;;;;;;;34.93;;;;;89.9;124.83;1;121.58;118.67;104.39;;Yes;USA;;APF;WPC;2015-05-30;USA;WA;;Washington State Open
Alexann Tureman;F;B;Single-ply;16.5;16-17;14-18;Disabled 1 13-19;75;75;;;;;;;;;;37.5;;;;;;37.5;1;36.52;35.65;31.36;20.56;Yes;USA;WA;WABDL;;2015-03-14;USA;OR;Portland;North American
Alexann Tureman;F;D;Single-ply;16.5;16-17;14-18;Disabled 1 13-19;75;75;;;;;;;;;;;;;;92.5;90;90;1;87.66;85.56;75.26;;Yes;USA;WA;WABDL;;2015-03-14;USA;OR;Portland;North American
Alexann Tureman;F;B;Single-ply;15.5;16-17;14-18;Disabled 2 13-19;75;75;;;;;;;;;37.5;35;;;;;;35;1;34.09;33.27;29.27;19.19;Yes;USA;WA;WABDL;;2014-11-21;USA;NV;Las Vegas;World Championships
Alexann Tureman;F;D;Single-ply;15.5;16-17;14-18;Disabled 2 13-19;75;75;;;;;;;;;;;;;;85;82.5;82.5;1;80.35;78.43;68.99;;Yes;USA;WA;WABDL;;2014-11-21;USA;NV;Las Vegas;World Championships
Alexann Tureman;F;SD;Raw;15.5;16-17;14-18;FR-T1;64.5;67.5;;;;;27.5;;;;;;;;;;75;102.5;2;108.69;108.15;95.47;;Yes;USA;;USAPL;IPF;2014-02-22;USA;WA;;Washington State Championships
Alexann Tureman;F;B;Single-ply;13.5;13-15;14-18;Open;63.3;67.5;;;;;;30;-35;-35;;30;;;;;;30;4;32.17;32.10;28.35;18.05;Yes;USA;;IBSA;;2012-07-01;USA;FL;Orlando;World Bench Press & Powerlifting Championships
Alexann Tureman;F;SBD;Single-ply;13.5;13-15;14-18;Open;63.3;67.5;-27.5;27.5;30;;30;30;-35;-35;;30;62.5;67.5;75;;75;135;4;144.78;144.46;127.56;24.31;Yes;USA;;IBSA;;2012-07-01;USA;FL;Orlando;World Bench Press & Powerlifting Championships
Alexann Tureman;F;SBD;Single-ply;13.5;13-15;14-18;Sub-Juniors;63.3;67.5;-27.5;27.5;30;;30;30;-35;-35;;30;62.5;67.5;75;;75;135;2;144.78;144.46;127.56;24.31;Yes;USA;;IBSA;;2012-07-01;USA;FL;Orlando;World Bench Press & Powerlifting Championships
Alexann Tureman;F;SBD;Multi-ply;13.5;13-15;14-18;F_TEM_1_APF;67.5;67.5;;;;;34.93;;;;;37.42;;;;;84.91;157.26;1;162.35;160.50;141.59;27.34;;USA;;APF;WPC;2012-04-28;USA;WA;;Washington State Meet
