Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alex Barajas;M;SBD;Single-ply;;;;Boys;77.66;82.1;;;;;113.4;;;;;74.84;;;;;129.27;317.51;10;222.88;220.96;213.18;38.16;Yes;USA;;THSPA;;2018-02-08;USA;TX;temple high school;Temple Invitational
Alex Barajas;M;SBD;Raw;39;35-39;;Open;73;75;;;;;160;;;;;102.5;;;;;207.5;470;4;343.16;341.39;330.24;69.49;;USA;TX;USPA;IPL;2017-08-19;USA;TX;Houston;Time to Eat
Alex Barajas;M;SBD;Wraps;;;;Open;78.74;82.5;;;;;182.34;;;;;117.48;;;;;204.57;504.39;1;351.10;347.86;335.40;71.72;;USA;;SPF;;2016-08-27;USA;TX;Humble;Houston Full Power Blast II
Alex Barajas;M;SBD;Raw;38;35-39;24-39;Open;74;75;;;;;182.5;;;;;105;;;;;220;507.5;1;367.25;365.05;352.93;74.51;;USA;TX;USPA;IPL;2015-08-22;USA;TX;Austin;Symbolic Muscle Classic
Alex Barajas;M;SBD;Raw;37;35-39;24-39;Open;67.31;67.5;;;;;170;;;;;97.5;;;;;215;482.5;1;372.64;372.86;361.97;74.44;;USA;TX;USPA;IPL;2014-10-25;USA;TX;Spring;Houston Fall Classic
Alex Barajas;M;SBD;Raw;37;35-39;24-39;Open;66.41;67.5;;;;;160;;;;;-100;;;;;;;DQ;;;;;;USA;TX;USPA;IPL;2014-07-26;USA;TX;Austin;Naturally Fit Expo Games
Alex Barajas;M;SBD;Raw;36;35-39;24-39;Open;67.31;67.5;;;;;162.5;;;;;100;;;;;207.5;470;1;362.99;363.20;352.60;72.51;;USA;;USPA;IPL;2014-03-29;USA;TX;Austin;Texas State Powerlifting
Alex Barajas;M;SBD;Raw;36;35-39;24-39;Open;66.13;67.5;;;;;165;;;;;97.5;;;;;212.5;475;4;371.63;372.37;361.80;73.97;;USA;TX;IPL;IPL;2013-11-06;USA;NV;Las Vegas;World Powerlifting Benchpress and Deadlift Championships
Alex Barajas;M;SBD;Raw;35;35-39;24-39;Open;66.9;67.5;;;;;145;;;;;95;;;;;197.5;437.5;1;339.40;339.75;329.93;67.71;;USA;;USPA;IPL;2013-06-22;USA;TX;San Antonio;Alamo Classic
Alex Barajas;M;SBD;Raw;35;35-39;24-39;Submasters 35-39;67.31;67.5;;;;;160;;;;;100;;;;;190;450;1;347.54;347.74;337.59;69.42;;USA;;USPA;IPL;2013-03-23;USA;TX;Austin;Texas State Powerlifting
Alex Barajas;M;SBD;Raw;35;35-39;24-39;Submasters 35-39;72.3;75;;;;;150;;;;;102.5;;;;;207.5;460;1;338.01;336.48;325.63;68.35;;USA;;USPA;IPL;2012-12-15;USA;TX;Victoria;Lift for Gifts
Alex Barajas;M;SBD;Raw;35;35-39;24-39;Open;72.3;75;;;;;150;;;;;102.5;;;;;207.5;460;2;338.01;336.48;325.63;68.35;;USA;;USPA;IPL;2012-12-15;USA;TX;Victoria;Lift for Gifts
Alex Barajas;M;SBD;Single-ply;;;;Boys;98.88;99.7;;;;;188.24;;;;;115.67;;;;;183.7;487.61;11;301.61;298.11;284.79;51.27;Yes;USA;;THSPA;;2011-02-19;USA;TX;Sulphur Springs Texas;Sulphur Springs
Alex Barajas;M;SBD;Single-ply;;;;Boys;99.56;99.7;;;;;183.7;;;;;115.67;;;;;183.7;483.08;6;297.91;294.52;281.32;50.63;Yes;USA;;THSPA;;2011-01-29;USA;TX;Marshall;Marshall Powerlifting meet
