Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alex Deken;M;SBD;Raw;30;24-34;24-39;M-OR;96.4;100;220;240;260;;260;175;190;200;;200;220;240;265;;265;725;3;453.58;448.05;428.30;93.21;;Australia;;ProRaw;;2022-04-22;Australia;VIC;Carrum Downs;12 Sleeves and Single Lifts
Alex Deken;M;SBD;Wraps;29;24-34;24-39;M-OR;99.2;100;285;300;305;;305;185;200;-205;;200;240;275;-295;;275;780;3;481.78;476.24;454.93;98.91;;Australia;;GPC-AUS;GPC;2021-04-17;Australia;VIC;Frankston;VIC Nats Qualifier
Alex Deken;M;BD;Raw;28;24-34;24-39;M-OR;102.2;110;;;;;;207.5;217.5;222.5;;222.5;295;315;-327.5;;315;537.5;1;327.79;324.36;309.73;;;Australia;VIC;GPC-AUS;GPC;2019-12-01;Australia;;;Four Nations
Alex Deken;M;SBD;Wraps;28;24-34;24-39;M-OR;99.1;100;280;300;-310;;300;210;-215;215;;215;300;320;-330;;320;835;1;515.98;510.03;487.22;105.94;;Australia;;GPC-AUS;GPC;2019-10-19;Australia;VIC;Melbourne;Melbourne Cup
Alex Deken;M;SBD;Wraps;27;24-34;24-39;M-OR;100.8;110;310;327.5;;;327.5;197.5;205;210;;210;307.5;322.5;;;322.5;860;2;527.53;521.74;498.26;108.23;;Australia;;GPC-AUS;GPC;2019-06-14;Australia;SA;Adelaide;Nationals
Alex Deken;M;SBD;Wraps;27;24-34;24-39;M-OR;94.7;95;320;340;-345;;340;-205;-205;-205;;;;;;;;;DQ;;;;;;Australia;;ProRaw;;2019-03-15;Australia;VIC;Melbourne;XI
Alex Deken;M;SBD;Wraps;26;24-34;24-39;M-OR;89.5;90;310;325;335;;335;195;202.5;-207.5;;202.5;305;320;-335;;320;857.5;1;556.02;548.98;526.28;114.31;;Australia;VIC;GPC-AUS;GPC;2018-06-01;Australia;VIC;Frankston;Nationals
Alex Deken;M;SBD;Wraps;;;;M-OR;93.1;95;300;315;-322.5;;315;192.5;200;-205;;200;295;-320;-320;;295;810;4;515.10;508.57;486.74;105.91;;Australia;;ProRaw;;2018-03-16;Australia;VIC;Melbourne;X
Alex Deken;M;SBD;Wraps;26;24-34;24-39;M-OR;89.4;90;295;310;320;;320;187.5;195;200;;200;290;315;325;;325;845;1;548.23;541.29;518.93;112.71;;Australia;;GPC-AUS;GPC;2017-09-09;Australia;VIC;Melbourne;Melbourne Cup
Alex Deken;M;SBD;Wraps;26;24-34;24-39;M-OR;97.5;100;290;305;315;;315;190;197.5;200;;200;285;310;317.5;;317.5;832.5;3;518.17;511.97;489.25;106.45;;Australia;VIC;GPC-AUS;GPC;2017-07-21;Australia;VIC;Frankston;Nationals
Alex Deken;M;SBD;Wraps;25;24-34;24-39;M-OR;95;100;280;300;310;;310;180;190;195;;195;295;305;-315;;305;810;1;510.20;503.84;481.86;104.88;;Australia;;GPC-AUS;GPC;2017-04-22;Australia;VIC;;VIC States
Alex Deken;M;SBD;Wraps;25;24-34;24-39;M-OR;93.7;95;285;300;-310;;300;175;185;190;;190;285;-295;295;;295;785;3;497.67;491.39;470.18;102.32;;Australia;;ProRaw;;2017-03-18;Australia;VIC;Melbourne;Nine
Alex Deken;M;SBD;Wraps;24;24-34;24-39;M-OR;99.2;100;265;275;-282.5;;275;180;187.5;;;187.5;280;-297.5;;;280;742.5;3;458.62;453.34;433.06;94.16;;Australia;VIC;GPC-AUS;GPC;2016-07-08;Australia;QLD;Surfers Paradise;Nationals
Alex Deken;M;SBD;Wraps;24;24-34;24-39;M-OR;98.2;100;260;285;-300;;285;180;190;-200;;190;270;-300;-300;;270;745;2;462.23;456.78;436.43;94.93;;Australia;;GPC-AUS;GPC;2016-04-03;Australia;VIC;;VIC States
Alex Deken;M;SBD;Wraps;24;24-34;24-39;M-OR;106.1;110;285;-315;-320;;285;200;212.5;-220;;212.5;290;315;-330;;315;812.5;4;487.98;483.77;462.00;99.83;;Australia;;ProRaw;;2015-11-15;Australia;VIC;Carrum Downs;Seven
Alex Deken;M;SBD;Wraps;24;24-34;24-39;M-OR;107.2;110;270;290;;;290;205;-215;;;205;300;320;;;320;815;2;487.50;483.58;461.89;99.66;;Australia;;GPC-AUS;GPC;2015-09-07;Australia;SA;Adelaide;Adelaide Cup
Alex Deken;M;SBD;Wraps;23;20-23;;M-OR;108.8;110;280;-305;305;;305;190;205;;;205;280;305;-312.5;;305;815;3;484.71;481.26;459.83;98.99;;Australia;VIC;GPC-AUS;GPC;2015-05-19;Australia;QLD;Brisbane;Nationals
Alex Deken;M;SBD;Wraps;;;;MO-RP;110;110;220;240;260;;260;180;195;;;195;260;280;-295;;280;735;1;435.32;432.54;413.40;88.82;;Australia;;CAPO;GPA;2015-03-13;Australia;VIC;Melbourne;Arnold Classic Australia
Alex Deken;M;B;Raw;23;20-23;;M-OR;102.8;110;;;;;;175;190;-200;;190;;;;;;190;1;115.59;114.41;109.24;85.92;;Australia;;GPC-AUS;GPC;2015-02-20;Australia;VIC;;VIC States
Alex Deken;M;SBD;Raw;23;20-23;;Juniors 20-23;100;100;255;275;;;275;175;192.5;-200;;192.5;255;275;-282.5;;275;742.5;1;457.02;451.88;431.59;93.80;;Australia;;GPA;GPA;2014-11-21;Australia;NSW;Sydney;World Championships
Alex Deken;M;SBD;Wraps;;;;M-OR;103.3;110;;;;;280;;;;;190;;;;;272.5;742.5;6;450.79;446.29;426.14;92.37;;Australia;;ProRaw;;2014-09-12;Australia;VIC;Melbourne;Six
Alex Deken;M;SBD;Wraps;22;20-23;19-23;MJ-RP;99.3;100;220;240;250;;250;-150;155;170;;170;245;265;-280;;265;685;2;422.92;418.07;399.35;86.83;;Australia;;CAPO;GPA;2014-08-01;Australia;QLD;Brisbane;Nationals
Alex Deken;M;SBD;Wraps;22;20-23;19-23;M-OR;96.3;100;235;245;;;245;160;170;-172.5;;170;245;255;260;;260;675;4;422.50;417.34;398.95;86.82;;Australia;;GPC-AUS;GPC;2014-03-08;Australia;VIC;;VIC States
Alex Deken;M;SBD;Wraps;22;20-23;19-23;M-OR;89.4;90;220;230;-240;;230;155;-165;-165;;155;220;240;250;;250;635;1;411.98;406.77;389.96;84.70;;Australia;;GPC-AUS;GPC;2013-09-18;Australia;VIC;Melbourne;Melbourne Cup
