Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexei Sharovatov;M;B;Raw;32.5;24-34;24-39;Open;104;105;;;;;;-200;200;-210;;200;;;;;;200;3;121.09;119.92;114.50;89.95;Yes;Russia;;FPR;IPF;2012-12-22;Russia;MOW;Moscow;Moscow City Bench Press Championships
Alexei Sharovatov;M;B;Single-ply;30.5;24-34;24-39;Open;106.8;110;;;;;;;;;;250;;;;;;250;6;149.76;148.52;141.85;77.03;Yes;Russia;;FPR;IPF;2010-12-12;Russia;MOW;Moscow;Moscow City Bench Press Championships
Alexei Sharovatov;M;B;Single-ply;30.5;24-34;24-39;Open;102.15;110;;;;;;-240;240;-260;;240;;;;;;240;4;146.39;144.86;138.32;75.50;Yes;Russia;;FPR;IPF;2010-05-02;Russia;MOW;Moscow;Moscow City Bench Press Championships
Alexei Sharovatov;M;B;Single-ply;27.5;24-34;24-39;Open;105.4;110;;;;;;255;-265;-267.5;;255;;;;;;255;3;153.55;152.17;145.32;79.04;Yes;Russia;;FPR;IPF;2007-12-16;Russia;MOW;Moscow;Moscow City Bench Press Championships
Alexei Sharovatov;M;B;Single-ply;26.5;24-34;24-39;Open;108.65;110;;;;;;250;265;272.5;;272.5;;;;;;272.5;3;162.15;160.98;153.81;83.33;Yes;Russia;;FPR;IPF;2006-12-15;Russia;MOW;Moscow;Moscow City Bench Press Championships
Alexei Sharovatov;M;B;Single-ply;27.5;24-34;24-39;Open;100;100;;;;;;-240;-250;-250;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2006-03-21;Russia;VLA;Suzdal;Russian Bench Press Championships
Alexei Sharovatov;M;B;Single-ply;25.5;24-34;24-39;Open;100;100;;;;;;240;250;262.5;;262.5;;;;;;262.5;1;161.57;159.75;152.58;83.46;Yes;Russia;;FPR;IPF;2005-05-14;Russia;MOW;Moscow;Moscow City Bench Press Championships
Alexei Sharovatov;M;SBD;Single-ply;25.5;24-34;24-39;Open;98.8;100;;;;;345;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2005-03-02;Russia;TA;Kazan;Russian Powerlifting Championships
Alexei Sharovatov;M;B;Single-ply;24.5;24-34;24-39;Open;100;100;;;;;;240;250;-255;;250;;;;;;250;3;153.88;152.15;145.32;79.49;Yes;Russia;;FPR;IPF;2004-12-11;Russia;MOW;Moscow;Moscow City Bench Press Cup
Alexei Sharovatov;M;SBD;Single-ply;25.5;24-34;24-39;Open;99.95;100;;;;;350;;;;;240;;;;;350;940;6;578.71;572.19;546.51;98.32;Yes;Russia;;FPR;IPF;2004-08-29;Russia;VOR;Voronezh;Russian Powerlifting Cup
Alexei Sharovatov;M;B;Single-ply;24.5;24-34;24-39;Open;101.8;110;;;;;;220;230;240;;240;;;;;;240;4;146.60;145.05;138.51;75.63;Yes;Russia;;FPR;IPF;2004-05-07;Russia;MOW;Moscow;Moscow City Bench Press Championships
Alexei Sharovatov;M;SBD;Single-ply;25.5;24-34;24-39;Open;99.2;100;;;;;350;;;;;230;;;;;360;940;5;580.61;573.93;548.25;98.68;Yes;Russia;;FPR;IPF;2004-03-10;Russia;KYA;Krasnoyarsk;Russian Powerlifting Championships
Alexei Sharovatov;M;SBD;Single-ply;24.5;24-34;24-39;Open;98.95;100;;;;;335;;;;;235;;;;;350;920;7;568.89;562.30;537.16;96.70;Yes;Russia;;FPR;IPF;2003-10-01;Russia;KO;Syktyvkar;Russian Powerlifting Cup
Alexei Sharovatov;M;SBD;Single-ply;24.5;24-34;24-39;Open;99.1;100;;;;;340;;;;;220;;;;;352.5;912.5;4;563.88;557.37;532.44;95.84;Yes;Russia;;FPR;IPF;2003-02-26;Russia;TA;Kazan;Russian Powerlifting Championships
Alexei Sharovatov;M;SBD;Single-ply;24.5;24-34;24-39;Open;98.8;100;;;;;330;;;;;237.5;;;;;335;902.5;1;558.44;551.95;527.29;94.93;Yes;Russia;;FPR;IPF;2003-01-16;Russia;MOW;Moscow;Moscow City Powerlifting Championships
Alexei Sharovatov;M;SBD;Single-ply;23.5;24-34;24-39;Open;94.85;100;;;;;300;;;;;230;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2002-08-23;Russia;MOW;Moscow;Moscow City Powerlifting Cup & Single Event Championships
Alexei Sharovatov;M;B;Single-ply;22.5;20-23;19-23;Open;94.95;100;;;;;;;;;;205;;;;;;205;6;129.16;127.55;121.98;67.01;Yes;Russia;;FPR;IPF;2002-04-27;Russia;MOW;Moscow;Moscow City Bench Press Championships
Alexei Sharovatov;M;SBD;Single-ply;21.5;20-23;19-23;Open;94.4;100;-300;300;-320;;300;210;222.5;230;;230;330;350;-360;;350;880;2;555.94;548.97;525.13;94.70;Yes;Russia;;FPR;IPF;2001-10-09;Russia;IRK;Irkutsk;Russian Powerlifting Cup
Alexei Sharovatov;M;SBD;Single-ply;21.5;20-23;19-23;Open;97.9;100;;;;;305;;;;;227.5;;;;;340;872.5;1;542.07;535.64;511.82;92.19;Yes;Russia;;FPR;IPF;2001-08-24;Russia;MOW;Moscow;Moscow City Powerlifting Cup and Single Event Championships
Alexei Sharovatov;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;86.3;90;-290;-295;-295;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2001-03-22;Russia;KEM;Kemerovo;Russian Juniors Powerlifting Championships
Alexei Sharovatov;M;SBD;Single-ply;20.5;20-23;19-23;Juniors;90.6;100;275;285;290;;290;190;202.5;-210;;202.5;302.5;-310;-320;;302.5;795;3;512.34;505.82;484.64;87.41;Yes;Russia;;EPF;IPF;2000-06-15;Bulgaria;;Sofia;European Juniors Powerlifting Championships
Alexei Sharovatov;M;SBD;Single-ply;20.5;20-23;19-23;Open;88.3;90;290;300;-310;;300;-200;-205;205;;205;305;312.5;-335;;312.5;817.5;1;533.76;527.07;505.57;91.15;Yes;Russia;;FPR;IPF;2000-03-22;Russia;MOW;Sergiyev Posad;Russian Juniors Powerlifting Championships
Alexei Sharovatov;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;88.8;90;-275;280;-285;;280;190;-200;-200;;190;-300;-300;-310;;;;DQ;;;;;Yes;Russia;;IPF;IPF;1999-10-05;Czechia;;Nymburk;World Juniors Powerlifting Championships
Alexei Sharovatov;M;SBD;Single-ply;19.5;20-23;19-23;Open;88.85;90;275;-285;-285;;275;-197.5;197.5;210;;210;300;320;330;;330;815;4;530.43;523.75;502.25;90.56;Yes;Russia;;FPR;IPF;1999-09-16;Russia;YAR;Rybinsk;Russian Powerlifting Cup
Alexei Sharovatov;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;89.4;90;;;;;292.5;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;1999-03-25;Russia;KEM;Leninsk-Kuznetsky;Russian Juniors Powerlifting Championships
Alexei Sharovatov;M;SBD;Single-ply;18.5;18-19;19-23;Open;86.5;90;;;;;260;;;;;180;;;;;290;730;1;481.81;475.91;456.93;82.33;Yes;Russia;;FPR;IPF;1998-08-15;Russia;MOW;Moscow;Moscow City Powerlifting Championships
