Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexey Brazhkin;M;B;Multi-ply;46;45-49;40-49;Pro Masters 45-49;123.8;125;;;;;;230;240;-250;;240;;;;;;240;1;136.44;137.04;131.23;69.86;;Russia;;WPC;WPC;2017-06-04;Russia;MOW;Moscow;Amateur European Championships
Alexey Brazhkin;M;B;Raw;46;45-49;40-49;Pro Masters 45-49;122.7;125;;;;;;-240;240;-250;;240;;;;;;240;1;136.83;137.30;131.53;100.30;;Russia;;WPC-RUS;WPC;2017-04-23;Russia;MOW;Moscow;Kremlin Gym Competition
Alexey Brazhkin;M;B;Single-ply;45;45-49;40-49;Masters 45-49;126;140;;;;;;235;-250;250;;250;;;;;;250;1;141.33;142.23;136.00;72.37;Yes;Russia;;WPA;;2016-10-29;Russia;MOW;Moscow;World Cup of Champions
Alexey Brazhkin;M;B;Multi-ply;44;40-44;40-49;M_MEM_1_WPC;135.5;140;;;;;;260;280;-300;;280;;;;;;280;1;154.88;157.26;149.81;79.38;;Russia;;WPC;WPC;2015-11-09;Portugal;;Maia;World Championships
Alexey Brazhkin;M;B;Raw;44;40-44;40-49;M_MR_1_WPC;135.7;140;;;;;;190;-210;;;190;;;;;;190;2;105.05;106.69;101.62;76.21;;Russia;;WPC;WPC;2015-11-09;Portugal;;Maia;World Championships
Alexey Brazhkin;M;B;Raw;44;40-44;40-49;M_MR_1_WPC;129.9;140;;;;;;170;180;200;;200;;;;;;200;5;112.01;113.13;108.08;81.63;;Russia;;WPC;WPC;2015-06-11;Latvia;;Riga;European Powerlifting Championships
Alexey Brazhkin;M;B;Multi-ply;44;40-44;40-49;M_MEM_1_WPC;131.8;140;;;;;;230;250;270;;270;;;;;;270;2;150.56;152.34;145.40;77.12;;Russia;;WPC;WPC;2015-06-11;Latvia;;Riga;European Powerlifting Championships
Alexey Brazhkin;M;B;Raw;43;40-44;40-49;Pro Masters 40-44;128.6;140;;;;;;180;187.5;-200;;187.5;;;;;;187.5;1;105.33;106.26;101.57;76.84;;Russia;;WPC;WPC;2014-06-12;Azerbaijan;;Baku;European Championships
Alexey Brazhkin;M;B;Multi-ply;43;40-44;40-49;Pro Masters 40-44;129;140;;;;;;230;252.5;-270;;252.5;;;;;;252.5;1;141.72;143.01;136.68;72.57;;Russia;;WPC;WPC;2014-06-12;Azerbaijan;;Baku;European Championships
Alexey Brazhkin;M;B;Raw;42;40-44;40-49;M_MR_1_WPC;131;140;;;;;;165;180;-190;;180;;;;;;180;3;100.56;101.67;97.08;73.22;;Russia;;WPC;WPC;2013-10-26;Czechia;;Pargue;World Championship
