Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexey Kharauzov;M;SBD;Multi-ply;42;40-44;40-49;Amateur Masters 40-44;86.6;90;300;-315;315;;315;210;225;232.5;;232.5;232.5;252.5;262.5;;262.5;810;1;534.28;527.73;506.65;91.29;Yes;Russia;;WPC;WPC;2015-12-12;Russia;SVE;Yekaterinburg;Asian Cup
Alexey Kharauzov;M;B;Raw;37;35-39;24-39;Amateur Open;89;90;;;;;;185;190;200;;200;;;;;;200;1;130.06;128.41;123.13;96.97;Yes;Russia;;NAP;IPA;2011-02-10;Russia;SVE;Yekaterinbourg;Russian Championships
Alexey Kharauzov;M;B;Multi-ply;35;35-39;24-39;Pro Open;90;90;;;;;;-185;190;-200;;190;;;;;;190;1;122.85;121.29;116.25;64.09;;Russia;;WPC-RUS;WPC;2009-04-25;Russia;SVE;Yekaterinburg;XXX Gym Bench Press Championships
Alexey Kharauzov;M;SBD;Raw;35;35-39;24-39;Amateur Open;89.35;90;210;225;235;;235;-190;200;205.5;;205.5;210;240;260;;260;700.5;1;454.61;448.86;430.32;93.46;Yes;Russia;;WPC-RUS;WPC;2009-03-29;Russia;SVE;Reftinskiy;Sverdlovskaya Powerlifting and Bench Press Championships
Alexey Kharauzov;M;SBD;Multi-ply;33;24-34;24-39;Pro Open;87.65;90;190;205;215;;215;170;180;190;;190;220;240;272.5;;272.5;677.5;1;444.06;438.53;420.78;75.85;;Russia;;WPC-RUS;WPC;2007-10-06;Russia;;Ekaterinbourg;Golden Tiger Cup
Alexey Kharauzov;M;SBD;Single-ply;32;24-34;24-39;Open;88.45;90;;;;;330;;;;;255;;;;;300;885;1;577.33;570.08;546.79;98.58;Yes;Russia;;FPR;IPF;2006-01-18;Russia;CHE;Chelyabinsk;Urals & Volga Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;28;24-34;24-39;Open;88.9;90;322.5;330;;;330;220;227.5;232.5;;232.5;280;290;-295;;290;852.5;2;554.68;547.69;525.19;94.70;Yes;Russia;;FPR;IPF;2002-10-02;Russia;TA;Kazan;Russian Powerlifting Cup
Alexey Kharauzov;M;B;Single-ply;28;24-34;24-39;Open;89.7;90;;;;;;230;237.5;242.5;;242.5;;;;;;242.5;3;157.07;155.07;148.65;81.97;Yes;Russia;;FPR;IPF;2002-06-07;Russia;NIZ;Nizhny Novgorod;Russian Bench Press Championships
Alexey Kharauzov;M;SBD;Single-ply;27;24-34;24-39;Open;87.05;90;310;320;325;;325;210;215;220;;220;290;300;-302.5;;300;845;1;555.84;548.98;526.93;94.96;Yes;Russia;;FPR;IPF;2001-10-09;Russia;IRK;Irkutsk;Russian Powerlifting Cup
Alexey Kharauzov;M;SBD;Single-ply;27;24-34;24-39;Open;82.5;82.5;;;;;305;;;;;205;;;;;290;800;3;541.91;535.93;515.67;92.71;Yes;Russia;;FPR;IPF;2001-03-01;Russia;LEN;St. Petersburg;Russian Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;26;24-34;24-39;Open;82.4;82.5;-290;300;312.5;;312.5;200;-207.5;-207.5;;200;285;300;305;;305;817.5;3;554.15;548.05;527.36;94.80;Yes;Russia;;FPR;IPF;2000-09-27;Russia;KDA;Sochi;Russian Powerlifting Cup
Alexey Kharauzov;M;B;Single-ply;26;24-34;24-39;Open;81.8;82.5;;;;;;202.5;210;212.5;;212.5;;;;;;212.5;4;144.65;143.09;137.73;76.43;Yes;Russia;;FPR;IPF;2000-06-10;Russia;PER;Perm;Russian Bench Press Championships
Alexey Kharauzov;M;SBD;Single-ply;26;24-34;24-39;Open;82.4;82.5;302.5;315;;;315;200;-210;-210;;200;280;295;-317.5;;295;810;4;549.07;543.02;522.52;93.93;Yes;Russia;;FPR;IPF;2000-03-01;Russia;KO;Syktyvkar;Russian Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;25;24-34;24-39;Open;81.6;82.5;285;295;-305;;295;-202.5;202.5;207.5;;207.5;285;-295;295;;295;797.5;2;543.61;537.80;517.73;93.02;Yes;Russia;;FPR;IPF;1999-09-16;Russia;YAR;Rybinsk;Russian Powerlifting Cup
Alexey Kharauzov;M;SBD;Single-ply;25;24-34;24-39;Open;82.45;82.5;292.5;305;312.5;;312.5;-195;195;205;;205;275;287.5;295;;295;812.5;1;550.57;544.50;523.93;94.19;Yes;Russia;;FPR;IPF;1999-02-25;Russia;ORE;Gai;Russian Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;24;24-34;24-39;Open;82.3;82.5;290;-302.5;305;;305;190;195;202.5;;202.5;270;282.5;-290;;282.5;790;4;535.88;530.00;510.02;91.68;Yes;Russia;;FPR;IPF;1998-02-26;Russia;BA;Ufa;Russian Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;23;20-23;24-39;Open;80.9;82.5;302.5;310;-312.5;;310;187.5;195;197.5;;197.5;-285;-285;-285;;;;DQ;;;;;Yes;Russia;;FPR;IPF;1997-10-02;Russia;VLA;Vladimir;Russian Powerlifting Cup
Alexey Kharauzov;M;SBD;Single-ply;23;20-23;24-39;Open;80.75;82.5;290;300;-311;;300;185;192.5;195;;195;280;285;-290;;285;780;1;534.91;529.40;509.89;91.55;Yes;Russia;;FPR;IPF;1997-02-27;Russia;KO;Syktyvkar;Russian Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;22;20-23;19-23;Open;82.5;82.5;290;-302.5;-302.5;;290;175;182.5;185;;185;275;-285;-285;;275;750;5;508.04;502.43;483.44;86.91;Yes;Russia;;FPR;IPF;1996-10-02;Russia;KLU;Kaluga;Russian Powerlifting Cup
Alexey Kharauzov;M;SBD;Single-ply;22;20-23;19-23;Juniors;81.4;82.5;292.5;302.5;307.5;;307.5;182.5;187.5;190;;190;280;290;-302.5;;290;787.5;1;537.55;531.86;512.06;91.99;Yes;Russia;;FPR;IPF;1996-04-18;Russia;ORL;Oryol;Russian Juniors Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;22;20-23;19-23;Open;82.5;82.5;280;-290;;;280;175;180;185;;185;265;270;290;;290;755;3;511.43;505.78;486.66;87.49;Yes;Russia;;FPR;IPF;1996-02-29;Russia;SVE;Yekaterinburg;Russian Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;22;20-23;19-23;Open;75;75;-260;-270;270;;270;-160;-160;160;;160;250;257.5;-262.5;;257.5;687.5;13;493.23;489.89;473.35;84.47;Yes;Russia;;IPF;IPF;1995-11-15;Finland;;Pori;Men's World Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;21;20-23;19-23;Open;74.4;75;255;270;280;;280;165;170;-172.5;;170;275;280;-282.5;;280;730;1;526.43;523.10;505.62;90.15;Yes;Russia;;FPR;IPF;1995-10-12;Russia;ME;Yoshkar-Ola;Russian Powerlifting Cup
Alexey Kharauzov;M;SBD;Single-ply;21;20-23;19-23;Juniors;74;75;250;-260;260;;260;160;165;-167.5;;165;260;-270;270;;270;695;3;502.94;499.92;483.32;86.13;Yes;Russia;;FPR;IPF;1995-04-06;Russia;CHE;Chelyabinsk;Russian Juniors Powerlifting Championships
Alexey Kharauzov;M;SBD;Single-ply;20;20-23;19-23;Juniors;72.2;75;205;215;225;;225;130;137.5;142.5;;142.5;230;245;-252.5;;245;612.5;10;450.49;448.48;434.04;77.14;Yes;Russia;;FPR;IPF;1994-03-15;Russia;LEN;St. Petersburg;Russian Juniors Powerlifting Championships
