Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexey Osokin;M;B;Raw;33.5;24-34;24-39;Open;82.7;83;;;;;;185;191;-200;;191;;;;;;191;4;129.20;127.77;122.92;96.12;Yes;Russia;;FPR;IPF;2013-03-01;Russia;VLA;Vladimir;Russian Classic Bench Press Championships
Alexey Osokin;M;B;Single-ply;26.5;24-34;24-39;Open;82.25;82.5;;;;;;240;247.5;-252.5;;247.5;;;;;;;DQ;;;;;Yes;Russia;;IPF;IPF;2006-05-23;Hungary;;Miskolc;World Bench Press Championships
Alexey Osokin;M;B;Single-ply;25.5;24-34;24-39;Open;81.2;82.5;;;;;;-245;-245;-245;;;;;;;;;DQ;;;;;Yes;Russia;;EPF;IPF;2005-09-22;Hungary;;Mosonmagyarovar;European Bench Press Championships
Alexey Osokin;M;B;Single-ply;24.5;24-34;24-39;Open;84.25;90;;;;;;242.5;-250;250;;250;;;;;;250;1;167.37;165.42;159.02;88.06;Yes;Russia;;FPR;IPF;2004-12-11;Russia;MOW;Moscow;Moscow City Bench Press Cup
Alexey Osokin;M;B;Single-ply;24.5;24-34;24-39;Open;80.65;82.5;;;;;;235;242.5;247.5;;247.5;;;;;;247.5;2;169.85;168.11;161.92;89.96;Yes;Russia;;EPF;IPF;2004-08-05;Serbia;;Vrsac;European Bench Press Championships
Alexey Osokin;M;B;Single-ply;22.5;20-23;19-23;Open;75;75;;;;;;195;202.5;210;;210;;;;;;210;3;150.66;149.64;144.59;80.85;Yes;Russia;;FPR;IPF;2002-06-07;Russia;NIZ;Nizhny Novgorod;Russian Bench Press Championships
Alexey Osokin;M;SBD;Single-ply;22.5;20-23;19-23;Juniors;74;75;;;;;260;;;;;200;;;;;265;725;1;524.65;521.50;504.19;89.85;Yes;Russia;;EPF;IPF;2002-05-19;Hungary;;Balatonlelle;European Juniors Powerlifting Championships
Alexey Osokin;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;67.5;67.5;;;;;255;;;;;190;;;;;255;700;3;539.52;539.71;523.89;92.29;Yes;Russia;;IPF;IPF;2001-09-11;Bulgaria;;Sofia;World Juniors Powerlifting Championships
Alexey Osokin;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;67.2;67.5;;;;;255;;;;;182.5;;;;;250;687.5;2;531.60;531.97;516.48;90.92;Yes;Russia;;EPF;IPF;2001-06-14;France;;Pontrieux;European Juniors Powerlifitng Championships
Alexey Osokin;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;67.45;67.5;235;-245;250;;250;165;177.5;187.5;;187.5;-240;245;255;;255;692.5;1;534.03;534.25;518.60;91.35;Yes;Russia;;FPR;IPF;2001-03-22;Russia;KEM;Kemerovo;Russian Juniors Powerlifting Championships
Alexey Osokin;M;SBD;Single-ply;20.5;20-23;19-23;Open;67;67.5;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2000-09-27;Russia;KDA;Sochi;Russian Powerlifting Cup
Alexey Osokin;M;B;Single-ply;20.5;20-23;19-23;Open;67.5;67.5;;;;;;175;185;192.5;;192.5;;;;;;192.5;1;148.37;148.42;144.07;81.63;Yes;Russia;;FPR;IPF;2000-06-10;Russia;PER;Perm;Russian Bench Press Championships
Alexey Osokin;M;SBD;Single-ply;20.5;20-23;19-23;Open;67.4;67.5;225;232.5;-237.5;;232.5;175;182.5;187.5;;187.5;-240;240;-252.5;;240;660;2;509.24;509.47;494.58;87.10;Yes;Russia;;FPR;IPF;2000-03-22;Russia;MOW;Sergiyev Posad;Russian Juniors Powerlifting Championships
Alexey Osokin;M;SBD;Single-ply;19.5;20-23;19-23;Open;67.45;67.5;195;210;220;;220;170;180;-187.5;;180;200;220;240;;240;640;4;493.54;493.74;479.29;84.42;Yes;Russia;;FPR;IPF;1999-09-16;Russia;YAR;Rybinsk;Russian Powerlifting Cup
Alexey Osokin;M;B;Single-ply;19.5;20-23;19-23;Open;67;67.5;;;;;;;;;;175;;;;;;175;1;135.61;135.74;131.80;74.77;Yes;Russia;;FPR;IPF;1999-06-12;Russia;NIZ;Nizhny Novgorod;Russian Bench Press Championships
Alexey Osokin;M;SBD;Single-ply;18.5;18-19;19-23;Open;59.8;60;165;175;-182.5;;175;-120;130;-137.5;;130;195;205;215;;215;520;10;440.11;444.85;434.48;74.92;Yes;Russia;;FPR;IPF;1998-09-17;Russia;KLU;Kaluga;Russian Powerlifting Cup
Alexey Osokin;M;SBD;Single-ply;17.5;18-19;14-18;Open;66.85;67.5;-135;-135;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;1997-10-02;Russia;VLA;Vladimir;Russian Powerlifting Cup
